text	proposal	narration	posEmotion	Qjustification	negEmotion	argumentative	empathy	EN_translation
"Umweltschutz ist richtig und wichtig!
Wieviel die Energieversorger hier investieren, geht aber stets in der Diskussion unter.
Außerdem haben wir keinen Schutzwall bis in die Stratosphäre!
Die Erderwärmung ist ein globales Problem, dass sich nicht nur von Deutschland aus lösen läßt.
Die Braunkohlenindustrie in Deutschland verursacht ein verschwindend geringen Anteil des gesamt-globalen Kohlendioxidausstosses.
Die Diskussion sollte also sachlich und geführt und auch auf internationaler Ebene forciert werden.
Außerdem - dies weiß jeder Chemiker - ist Methangas deutlich klimaschädlicher.
Natürlich wird nun nicht jede Kuh von der Wiese geholt oder jedes Reisfeld umgepflügt.
Was ich damit sagen möchte: Die Welternährung mit drastisch steigenden Bevölkerungszahlen hat selbstverständlich höchste Priorität!
Die Stromversorgung sicherzustellen, hat aber ebenso einen eminent hohen Stellenwert.
Nach dem Ausstieg aus der Atomkraft brauchen wir also die Braunkohlenverstromung als Brücken- und Übergangstechnologie.
Die ""Regenerativen"" sind derzeit jedenfalls nicht in der Lage, die Versorgung zu 100% zu gewährleisten!
Was ist, wenn die Sonne nicht scheint, der Wind nicht weht - und dies vor allem zu Spitzenlastzeiten morgens im Winter?
Sensible Geräte, z.B. in der Intensivmedizin, brauchen eine sichere und permanente Stromqualität- und versorgung.
Noch eines möchte ich loswerden:
Mir ist jeder in Betrieb befindliche Braunkohlenblock lieber als die unsicheren Atommeiler in Tihange und Doel, die in Deutschland schon längst vom Netz genommen wären!"	1	0	0	1	1	1	0	"Environmental protection is right and important!
But how much the utilities invest here is always lost in the discussion.
Besides, we don't have a protective wall up to the stratosphere!
Global warming is a global problem that cannot be solved from Germany alone.
The lignite industry in Germany causes an infinitesimally small portion of the total global carbon dioxide emissions.
The discussion should therefore be factual and conducted and also pushed on an international level.
Besides - every chemist knows this - methane gas is much more harmful to the climate.
Of course, not every cow is taken from the meadow or every rice field is plowed up.
What I would like to say with it: The world nutrition with drastically rising population numbers has naturally highest priority!
Ensuring the supply of electricity, however, is just as eminently important.
After the phase-out of nuclear power, we therefore need lignite-based power generation as a bridging and transitional technology.
At any rate, the ""renewables"" are currently not in a position to guarantee 100% supply!
What if the sun does not shine, the wind does not blow - and this especially at peak load times in the morning in winter?
Sensitive devices, e.g. in intensive care, need a secure and permanent power quality and supply.
I would like to say one more thing:
I prefer any operating lignite unit to the unsafe nuclear reactors in Tihange and Doel, which would have been taken off the grid in Germany long ago!"
"Zuerst mal darf die Nutzung des Feldes ja nicht durch Veranstaltungen eingeschränkt werden, und es dürfen keine Verbrennunsmotoren genutzt werden.
Damit ist die Frage nach wieviele und welche fast schon beantwortet.
Neben dem Gebäude und Vorfeld habe ich auf dem restlichen Feld schonmal einen Marathon gesehen, das Festival der Riesendrachen und die Kitelandboard-Meisterschaft.
Dadurch waren keine Wege blockiert und der eingenommene Platz hielt sich in Grenzen, so etwas würde ich auch gerne mehr sehen.
Sei es Modellflug, Athletik, ein Kunstprojekt oder sonstwas.
Insbesondere Sachen, die nicht sehr verbreitet sind, sind interessant.
Vielleicht wäre dann auch ein organisierter Zeitplan für alle Veranstaltungen auf dem Feld sinnvoll, mit Aushängen, um zu diesen weniger bekannten Veranstaltungen ohne großen Werbeaufwand Besucher zu locken."	0	0	0	0	0	0	0	"First of all, the use of the field must not be restricted by events, and combustion engines must not be used.
This almost answers the question of how many and which ones.
Besides the building and apron, I have seen on the rest of the field a marathon, the festival of giant kites and the kitelandboard championship.
This meant that no paths were blocked and the space taken was kept within limits, something I would also like to see more.
Be it model flying, athletics, an art project or anything else.
Especially things that are not very common are interesting.
Maybe then an organized schedule for all the events on the field would be useful, with notices to attract visitors to these lesser known events without a lot of advertising."
"@Gerd Walcher @H.J. Roggendorf
Vielen Dank für die Klarstellung - inzwischen bin ich auch selbst drüber gestolpert.
Das ändert die Sachlage allerdings dramatisch, womit ich meinen Einwand zurückziehe."	0	0	1	0	0	0	0	"@Gerd Walcher @H.J. Roggendorf
Many thanks for the clarification - in the meantime I stumbled over it myself.
However, this changes the situation dramatically, so I withdraw my objection."
"Nach den vielen Anregungen zuvor noch die ein oder andere von mir.
Die Forschungsstelle für Energiewirtschaft beschäftigt sich u.a. mit dem Strom-Export  sowie -Import.
Kaum jemandem ist bekannt, dass wir schon heute gigantische Mengen an Kohle-/ Atom-Strom aus Polen und Tschechien importieren.
Die Kraftwerke dort haben weit geringere Wirkungsgrade als unsere eigenen hierzulande.
Spätestens nach dem Atomausstieg, der Stilllegung der Kaltreserven Braunkohlekraftwerke und des Stromtrassenausbaus werden wir das entstehende Stromdefizit mit noch mehr Braunkohlestrom aus Polen und Tschechien sowie Atomstrom aus Frankreich decken müssen.
Macht  die CO2-Problematik, wenn es sie überhaupt gibt ! , an der Grenze halt ??
Durch viele nicht nachvollziehbare Entscheidungen und Gesetze vernichtet man hierzulande unsere  Energiewirtschaft, radiert ehemals  sehr erfolgreiche Unternehmen mit und mit aus.
Die Wertschöpfungskette überlässt man europäischen Nachbarländern.
Diese sagen partout Nein zur Energiewende.
Wir machen uns abhängig.
Das kann doch nicht gewollt sein.
Bedenken Sie dieses doch , liebe Politiker und Entscheidungsträger, in allen zukünftigen Entscheidungen.
Vielen herzlichen Dank !"	0	1	1	1	1	1	0	"After the many suggestions before still one or other from me.
The Research Center for Energy Economics deals, among other things, with the export as well as import of electricity.
Hardly anyone is aware that we already import gigantic amounts of coal/nuclear power from Poland and the Czech Republic.
The power plants there are far less efficient than our own in this country.
At the latest after the nuclear phase-out, the closure of the cold reserves of lignite-fired power plants and the expansion of the power lines, we will have to cover the resulting electricity deficit with even more lignite-fired electricity from Poland and the Czech Republic and nuclear power from France.
Does the CO2 problem, if it exists at all ! stop at the border?
By many not comprehensible decisions and laws one destroys our energy industry in this country, erases formerly very successful enterprises with and with.
The value chain is left to neighboring European countries.
These countries are saying no to the energy transition.
We are making ourselves dependent.
That can't be what we want.
Please consider this, dear politicians and decision makers, in all future decisions.
Thank you very much !"
"Vielleicht ist es Ihnen noch gar nicht aufgefallen, aber die zuverlässigen Kraftwerke, die unsere Netzstabilität sicher stellen, sin noch am Netz, auch die Kernkraftwerke.
Aus unserem wachsenden Stromexport zu schließen, dass wir zu viel Strom haben, zeigt, dass Sienicht verstanden haben, wie ein Stromnetz funktioniert, denn Strom ist weitestgehend ein just in time Produkt.
Speicher sind in der Kapazität nicht zu bauen und unbezahlbar.
Je mehr Zufallsstrom (z.B. Windenergie) erzeugt wird, umso größer werden die Probleme das Netz stabil zu halten.
Auch die Stromexporte werden steigen und wir werden auch das Netz unserer Nachbarn destablisieren.
Das lassen die sich von uns bezahlen und oft genug müssen wir noch Geld hinterher werfen.
Die von Ihnen angesprochene Simulation (mehr war es nicht) war damals schon in der Kritik, weil sie völlig realitätsfern, kleinräumig und u.a. ohne Großverbraucher erstellt wurde.
Die energiepolitische Notwendigkeit ist insbesonderen nach einem Kernenergieausstieg nach 2022 mehr denn je gegeben.
Wenn es danach geht, sogar weit über Holzweiler hinaus.
Ein vorzeitiges Ende von Garzweiler und  der Verzicht ohne Not auf 400.000.000 Tonnen Braunkohle gefährdet unsere sichere Energieversorgung und damit unsere Wirtschaftkraft.
Alles deutet darauf hin, dass die Energiewende grandios scheitert."	0	1	0	0	0	1	0	"Perhaps you haven't noticed, but the reliable power plants that ensure our grid stability are still on the grid, including the nuclear power plants.
To conclude from our growing electricity exports that we have too much electricity shows that you have not understood how a power grid works, because electricity is largely a just-in-time product.
Storage is unbuildable in capacity and unaffordable.
The more random power (e.g. wind energy) is generated, the bigger the problems to keep the grid stable.
Electricity exports will also increase and we will also destablize the grid of our neighbors.
They will have to pay for this and often enough we will have to throw money at them.
The simulation you mentioned (that's all it was) was already criticized at the time because it was completely unrealistic, small-scale and, among other things, without large-scale consumers.
The energy policy necessity is more than ever given, especially after a nuclear energy phase-out after 2022.
If it goes according to it, even far beyond Holzweiler.
A premature end to Garzweiler and the abandonment without necessity of 400,000,000 tons of lignite endangers our secure energy supply and thus our economic strength.
Everything points to the energy turnaround failing grandly."
"So weit ich das Feld kenne müsstest du dafür das Flughafengebäude im ( Nordwest) abreißen.
;)"	0	0	1	0	0	1	0	"As far as I know the field you would have to tear down the airport building in ( northwest) for that.
;)"
"Hallo Herr Widding, auch wenn es mir schwer fällt:
ich werde mich ebenfalls bemühen, so wenig polemisch wie möglich auf Ihren Kommentar einzugehen, aber das passendste Adjektiv, dass mir hierzu einfällt, ist ""heuchlerisch“.
Oder wie anders soll man es nennen, wenn RWE „Kooperationsverträge“ mit (2 Bergheimer) Schulen schließt und dort über Braunkohle „informiert“.
Hier werden Kinder (!) zur Durchsetzung eigener Interessen gesetzwidrig instrumentalisiert.
Und Sie werfen mir egoistische Ideologie vor?
Das ist witzig!
Wenn RWE sich dann in einer Rechfertigung als Klimaschützer und Betreiber der Energiewende outet, muss ich richtig laut lachen."	0	1	0	0	1	1	0	"Hello Mr. Widding, even if it is difficult for me:
I will also try to respond to your comment as little polemically as possible, but the most appropriate adjective I can think of for this is ""hypocritical"".
Or how else should one call it when RWE concludes ""cooperation agreements"" with (2 Bergheim) schools and ""informs"" them about lignite.
Here children (!) are instrumentalized unlawfully for the enforcement of own interests.
And you accuse me of egoistic ideology?
That is funny!
When RWE then outes itself in a justification as a climate protector and operator of the energy turnaround, I have to laugh really loud."
"Die Klimafolgen der Braunkohkleverstromung können selbst  von hartnäckigen Klimaleugner immer weniger überehen werden.
Die Folgen des Klimawandels werden mit jedem Monat ""zuwarten"" oder weiter mit ""business as usual"" drastischer zu Tage treten.
Jede dem Gemeinwohl verplichtete Regierung hat die absolute Verpflichtung den Ausstieg asap zu vollziehen, v.a. da bessere & preiswertere Alternativen verfügbar sind.
Man sieht am verzögerten Strukturwandel in NRW wie nachteilig sich die verzögerte Anpassung an Notwendigkeiten und  Erfordernisse auswirken.
Sehr verehrtes Kabinett (Kohle-)Kraft: Wiederholen Sie bitte nicht alte Muster und Fehler der auf die lange Bank geschobenen Strukturanpassung und werden Sie endlich Ihrer Verantwortung v.a. der jüngeren Generation ggü. gerecht."	1	0	0	0	0	1	0	"The climate consequences of lignite-fired small-scale power generation are becoming increasingly difficult to ignore, even for diehard climate deniers.
The consequences of climate change will become more drastic with each month of ""waiting"" or continuing with ""business as usual.""
Any government committed to the common good has an absolute obligation to phase out asap, especially since better & cheaper alternatives are available.
One can see from the delayed structural change in NRW how detrimental the delayed adaptation to necessities and requirements can be.
Dear cabinet (coal) Kraft: Please do not repeat old patterns and mistakes of the postponed structural adjustment and finally live up to your responsibility especially towards the younger generation."
"Eiswagen
Mein Sohn wünscht sich einen Eiswagen, der im Sommer immer im Kreis um das Feld fährt."	1	1	0	0	0	0	0	"Ice cream truck
My son wants an ice cream truck that always goes in circles around the field in the summer."
"Das mit den Speichern  geht schon.
Sie müssen nur sehr viele Wind- und Sonnenkraftwerke bauen, die in wind- und sonnenreichen Zeiten soviel Strom erzeugen, wie ihnen in wind- und sonnenarmen Zeiten fehlt.
Das wird teuer.
Und dann brauchen sie ein leistungsfähiges und wirtschaftliches Stromspeichersytem mit dem die Stromvorratshaltung funktioniert.
Und hier liegt der Hase im Pfeffer: ein solches System gibt es heute nicht, und wird es auch so schnell nicht geben, Pumpspeicherkraftwerke, Batterien und Power to Gas Anlagen sind es jedenfalls nicht"	0	0	0	0	0	1	0	"You can do that with storage.
You just have to build a lot of wind and solar power plants that generate as much electricity in windy and sunny times as they lack in windy and sunless times.
That will be expensive.
And then they need an efficient and economical electricity storage system with which the electricity stockpiling works.
And here's the rub: such a system doesn't exist today, and won't exist any time soon; pumped-storage power plants, batteries and power-to-gas plants certainly don't exist."
"Die Rekultivierung ist ein laufender Prozess der während des Regelbetriebes eines Tagebaus stattfindet.
Nicht erst wenn der Tagebau ausgekohlt ist.
So wird bei RWE jeden Tag rekultiviert.
Schauen Sie sich die Sophienhöhe oder die neue Indeaue an."	0	0	0	0	0	1	0	"Reclamation is an ongoing process that takes place during the regular operation of an open pit mine.
Not just when the open pit mine has been exhausted.
This is how RWE recultivates every day.
Take a look at the Sophienhöhe or the new Inde floodplain."
"Braunkohlenabbau ist weder im rheinischen Revier noch in den anderen Braunkohleabbaugebieten in Deutschland erforderlich.
Vielmehr braucht es heute einen Masterplan für einen sozialverträglichen, zügigen Ausstieg aus der Braunkohleverstromung.
* Unter allen fossilen Energieträger ist die Verstromung von Braunkohle am schädlichlichsten für die Umwelt.
Dies gilt sowohl für die Emmissionen bei der Verbrennung als auch für den Abbau.
* Würden die Schadwirkungen fair eingepreist, wäre Braunkohle im Vergleich zu praktisch allen anderen relevanten Energieträgern zu teuer, um im aktuellen und künftigen Strommarkt zu bestehen, und überdies mit negativer Tendenz.
* Das Geld, das heute mit Braunkohle ""verdient"" wird, stammt damit letztlich aus der Sozialisierung der Umweltschadwirkungen.
Dies muss aufhören.
* Die weiterhin geduldete und geförderte Verstromung von Braunkohle ist eine der maßgeblichen Ursachen dafür, dass Deutschland seine selbst gesteckten Klimaschutzziele voraussichtlich verfehlen wird.
* Die für den Abbau erforderlichen Eingriffe in das Persönlichkeitsrecht der vor Ort ansässigen Bürger ist rechtswidrig, denn ein dafür notwendiges Gemeinwohlziel gibt es aktuell und auch künftig nicht mehr.
Deutschland ist Netto-Stromexporteur, und dies mit steigender Tendenz.
* Auch technologisch ist die Braunkohleverstromung eine Sackgasse.
Braunkohle kann nur ""Grundlast"".
Der Begriff ""Grundlastfähigkeit"" suggeriert einen Vorteil für etwas, das in Wirklichkeit eine Beschränkung ist.
Verbrauchsprofile von Bürgern, Gemeinden, Gewerbe und Industrie sind weder über den Tag, über die Woche oder über das Jahr konstant.
Ein Vorteil wäre eine bedarfsgerechte Erzeugung, aber gerade dieses leistet Grundlast und damit Braunkohleverstromung  nicht.
Sehr geehrte Frau Kraft,  es steht ausser Frage, dass der Ausstieg aus der Braunkohle von NRW einen ausserorderlichen Kraftakt erfordert, der meiner Ansicht nach auch nicht alleine von NRW zu tragen ist.
Doch sie muessen sich entscheiden, ob NRW den gleichen Weg gehen will wie z.B. die grossen Energieversorger, welche die stattfindenden Veränderungen zulange bekämpft haben anstatt sich daran teilzuhaben und mit zu gestalten, oder ob sie ihr Land mit Weitsicht und Fortune in die Zukunft führen wollen."	1	0	0	0	0	1	0	"Lignite mining is not necessary in the Rhenish mining area or in the other lignite mining areas in Germany.
Rather, what is needed today is a master plan for a socially acceptable, swift phase-out of lignite-based power generation.
* Of all fossil fuels, lignite power generation is the most harmful to the environment.
This applies both to emissions during combustion and to mining.
* If the harmful effects were fairly priced in, lignite would be too expensive to compete in the current and future electricity market compared to virtually all other relevant energy sources, and moreover, it would be trending negatively.
* The money that is ""earned"" with lignite today thus ultimately comes from the socialization of environmental damage effects.
This must stop.
* The continued toleration and promotion of lignite-based power generation is one of the main reasons why Germany will probably fail to meet the climate protection targets it has set itself.
* The encroachment on the personal rights of local citizens required for mining is unlawful, because there is no public interest objective necessary for this at present, nor will there be in the future.
Germany is a net exporter of electricity, and the trend is rising.
* Technologically, too, lignite-based power generation is a dead end.
Lignite can only do ""base load.""
The term ""baseload capability"" suggests an advantage for something that is actually a limitation.
Consumption profiles of citizens, communities, commerce, and industry are not constant throughout the day, week, or year.
One advantage would be generation to meet demand, but this is precisely what base load, and thus lignite-fired generation, does not provide.
Dear Ms. Kraft, there is no question that the phase-out of lignite from NRW will require an extraordinary effort, which in my opinion cannot be borne by NRW alone.
But you have to decide whether NRW wants to go the same way as, for example, the big energy suppliers, who have fought the changes taking place for too long instead of participating in them and helping to shape them, or whether you want to lead your state into the future with foresight and fortune."
"Hallo Juliette,
tja, vielleicht aber im Moment ist das nicht die Realität und die wird es so schnell auch nicht.
Und es kommen eben sehr viele Leute von ausserhalb Berlin hierher (sieht man am Wochenende an den Kennzeichen) und die wollen eben irgendwo parken und so ist hier regelmäßig Alles blockiert insbesondere bei den grossen Veranstaltungen.
So gesehen ist es ein Witz, dass die Stadt hier quasi einen Vergnügungspark betreibt aber die notwendigen Parkplätze komplett ignoriert.
Dadurch löst sich nur leider nicht das Problem."	0	1	0	0	1	1	0	"Hello Juliette,
well, maybe, but at the moment this is not the reality and it will not be so fast.
And there are just a lot of people from outside Berlin here (you can see on weekends at the license plates) and they just want to park somewhere and so everything is regularly blocked here especially at the big events.
From this point of view, it is a joke that the city runs an amusement park here, but completely ignores the necessary parking spaces.
Unfortunately, this does not solve the problem."
"Nomaden
Es gibt sicher innovative Zeltkonstruktionen, die sich modular immer wieder neu zusammenstellen lassen für unterschiedliche Nutzungen.
Man könnte immer für einen begrenzten Zeitraum Nutzer als ""Nomaden"" auf dem Feld zulassen, die dann auch immer experimentell zeigen, was man mit modernen Zeltlösungen oder auch anderen temporären Bauformen machen kann.
Show, Kino, Hotelerie, Kunst, Gastronomie, aber vielleicht auch Handwerk, Design, Manufakturwesen..."	1	0	0	0	0	0	0	"Nomads
There are certainly innovative tent constructions that can be modularly reassembled again and again for different uses.
One could always allow users as ""nomads"" on the field for a limited period of time, who then also always experimentally show what can be done with modern tent solutions or even other temporary construction forms.
Show, cinema, hotel business, art, gastronomy, but maybe also handicraft, design, manufactory..."
"PRO Braunkohle;
Das politische Gezerre um das Braunkohleaus zeigt immer deutlicher, wie stark grüne Ideologen ohne Zukunftskonzepte die Medien und die öffentliche Meinungsmache in unserem Land prägen.
Für das gemeinsame Ziel einer erfolgreichen Energiewende müssen wir endlich ehrlich und frei von Ideologien miteinander reden.
Deutschland muss sich von seinem Sonderweg verabschieden und ein falsches Selbstbild als Musterschüler der Energiewende korrigieren.
Ein übereilter Ausstieg aus der Braunkohle nimmt auch im Hinblick auf die künftige Verknappung der Ressourcen viele weitere Chancen der Wertschöpfung aus dem heimischen Bodenschatz Braunkohle.
Die Fortführung des Tagebaus Garzweiler ist weiterhin erforderlich.
Schließlich geht es auch darum, die Versorgung für die Braunkohle Kraftwerke sicherzustellen.
Aktuell machen diese knapp mehr als ein Viertel des deutschen Energiemixes aus.
Unsere heimischen Braunkohlkraftwerke brauchen wir, um in wind- und sonnenarmen Zeiten Energiesicherheit zu haben.
Der Wirtschaftsstandort NRW produziert rund ein Viertel des gesamten Bruttoinlandsproduktes Deutschlands und lebt davon, dass es eine zuverlässige und bezahlbare Energieversorgung gibt.
So bedeutet ein unter den derzeitigen Voraussetzungen gleichzeitiger Ausstieg aus Steinkohle, Braunkohle und Atomenergie den „energiepolitischen Todesstoß“ für den Wirtschaftsstandort Deutschland!"	0	1	0	0	0	1	0	"PRO Lignite;
The political wrangling over the lignite phase-out shows more and more clearly how strongly green ideologues without concepts for the future are shaping the media and public opinion-making in our country.
For the common goal of a successful energy turnaround, we must finally talk to each other honestly and free of ideologies.
Germany must abandon its special path and correct its false self-image as a model student of the energy transition.
In view of the future shortage of resources, a hasty exit from lignite would deprive Germany of many more opportunities to create value from lignite as a domestic mineral resource.
The continuation of the Garzweiler open pit mine is still necessary.
Finally, it is also a matter of securing supplies for the lignite-fired power plants.
These currently account for just over a quarter of the German energy mix.
We need our domestic lignite-fired power plants to provide energy security in times of low wind and low sun.
NRW as a business location produces around a quarter of Germany's total gross domestic product and depends on having a reliable and affordable energy supply.
Thus, a simultaneous exit from hard coal, lignite and nuclear energy under the current conditions means the ""energy policy death blow"" for Germany as a business location!"
