cleaned_comment	orig_lang	speech	interactivity
So I like in spite of everything for and again that the peoples are now talking to each other and not as before they put it on in other ways; their disagreements.	de	[12:26] Also mir gefällt trotz allem für und wieder, dass die Völker jetzt miteinander sprechen und nicht wie früher das auf andere Art und Weise aufgetragen haben; ihre Unstimmigkeiten. [12:39]	0
But the EU will have to regulate immigration, because the external states have different problems than the internal states. If you look at Berlusconi with Lampedusa, there are significant problems down there - so there will have to be a pan-European solution, because otherwise we'll drown, like the ancient Romans. They had the same problem 1000 years ago with the migration of peoples. That's it.	de	[22:54] Die EU wird aber die Einwanderung regeln müssen, da die Aussenstaaten andere Probleme haben als die Binnenstaaten. Wenn sie Berlusconi mit Lampedusa anschauen, da hat es erhebliche Probleme da unten – also wird es eine gesamteuropäische Lösung geben müssen, weil sonst saufen wir ab, wie die alten Römer. Die haben vor 1000 Jahren dasselbe Problem mit der Völkerwanderung gehabt. Das war’s. [23:33]	0
I agree with this idea. Who is against this idea? Why? Because otherwise people will go en masse to another country. All of a sudden, in the Netherlands we have stricter immigration rules, well, at that moment, people will go to another country and we will have a very illegal distribution. I think we need a European agreement about what we want, what we consider desirable in terms of immigration. And the member countries must submit to this policy.	fr	[49 :27] Je suis d’accord avec cette idée. Qui faut que ça soit réglé sur le plan européen. Pourquoi? Parce que sinon, les gens iront en masses dans un autre pays. Tout a coup, en Pays-Bas on a des règles d’immigration plus sévères, bon, à ce moment là, on ira dans un autre pays et on aura donc une répartition très illégale. Je pense qu’il faut un accord européen a propos de ce que l’on veut, donc est-ce qu’on considère comme souhaitable au matière d’immigration. Et il faut que les pays membres donc se soumettent alors à ce politique. [50 :03]	0
In my opinion, we should perhaps think of methods of stimulation programs, to stimulate them to adapt to the European community. And not to throw stones at them and push them and force them. Because we will only train them and stir them up against us. They will keep coming and they will have more and more hatred against us. But they will always come. Trying to chase them away will only increase their numbers. I think an effective approach would be to make them happy and glad they came and make them willingly submit and make a contract. So I want to willingly go to a state, submit to its laws, work, and have a better life. The life I wished to have. So if the alternative is that - if things don't work out the way I want, I choose to go to some state but I don't have the legal, formal ability to go there. So I choose to go illegally. I subject myself to risks. And why? Because I want to go to that state because I believe that there, only there I will find a better life or the things that I am looking for. Maybe there are other suggestions, other opinions.	fr	[49 :25] il faudrait peut-être à mon avis penser des méthodes des programmes de stimulation, les stimuler à s’adapter à la communauté européenne. Et de ne pas leur jeter des pierres et les pousser et les obliger. Parce qu’on ne fera autre que les entrainer et les attiser contre nous. Ils vont continuer à venir et ils vont avoir de plus en plus de hargne et de haine contre nous. Mais ils viendront toujours. En essayant de les chasser ne fera que augmenter leur nombre. Je crois qu’une approche efficiente serait de les rendre heureux et content d’être venus et de faire en sorte qu’ils veulent volontairement se soumettre et conclure un contrat. Donc je veux de plain gré aller dans un état, me soumettre à ses lois, travailler, et avoir une vie meilleure. La vie que j’ai souhaité avoir. Si donc est celle la variante - si les choses se ne passent pas comme voulu, je choisi d’aller dans un état quelconque mais je n’ai pas la possibilité légale, formelle d'y aller. Alors j’ai choisi d’y aller illégalement. Je me soumets à des risques. Et pourquoi ? parce que moi je désire d’aller dans cet état-là parce que je crois que c’est là-bas, uniquement là-bas je vais trouver une vie meilleure ou ce que je faillais les choses que je recherche. Il y a peut-être d’autres suggestions, d’autres avis. [51 :15]	2
In my opinion, it is not only about the culture, but also about the colour of the skin, because some Poles have not learned to tolerate other races yet. Thank you.	pl	[14:36] In my opinion, it is not only about the culture, but also about the colour of the skin, because some Poles have not learned to tolerate other races yet. Thank you.[14:53]	0
That's not fair. We don't import this democracy, no, that's not it. But the problem is that they even prevented. When we win elections, and they bring a lot of money to keep their candidate in office, that's it. If it wasn't for that, people they are mostly with the - now with internet everything, even children - a little African of nothing, he can read, he knows what it is, democracy, he knows that it is to run a country but they have become of that, that is the problem.	fr	[33:41] Ce n’est pas juste. On n’importe pas cette démocratie là, non, ce n’est pas ça. Mais le problème c’est qu’ils ont même empêché. Quand on gagne des élections, et ils amènent beaucoup d’argent pour que leur candidat soit toujours maintenu, c’est ça. S’il n’y avait pas ça, les gens ils sont surtout avec le – maintenant avec internet tout, même enfants - un petit Africain de rien du tout, il sait lire, il sait ce que c’est, la démocratie, il sait que c’est marcher un pays mais ils sont devenu de ça, c’est le problème. [34:24]	3
It's the same thing Celine [CEC], right? Saying, there has to be some pressure on the job market. That's what you said Celine [CEC]. So there has to be a larger supply of labour for the employer to choose from. Is that what you said? The market prefers a tension with more workers. But I'm a bit tired too I think.	fr	[27 :08] c'est la même chose Céline[CEC], c'est ça ? si j’ai bien compris. Disant, il faut qu’il y ait une certaine pression sur le marché de l’emploi. C'est ce que vous avez dit Céline[CEC]. Donc il faut qu’employeur puisse choisir parmi une offre de main d’œuvre plus large. C'est ce que vous avez dit ? Le marché préfère une tension avec plus des travailleurs. Mais je suis un peu fatiguée aussi je crois. [27 :38]	2
I would like to disagree with Petra for a moment. The crime rate is constantly rising, even in the triangle Düsseldorf-Cologne-Solingen-Wupperthal, it's the evening order that assaults take place on young people, on older people - I don't want to quite subscribe to what you're saying we have no crime.	de	[34:20] Ich möchte der Petra kurz widersprechen. Die Kriminalitätsrate steigt ständig, auch in dem Dreieck Düsseldorf-Köln-Solingen-Wupperthal, ist es an der Abendordnung, dass Überfälle auf Jugendliche, auf ältere Menschen stattfinden – ich möchte nicht so ganz unterschreiben was du sagst wir haben keine Kriminalität. [34:46]	2
As far as I'm informed, just in Iraq, the oil, the, more or less the Americans are [earning] themselves silly on the Iraqi oil. And again to the poor countries, where there are the refugees from, there I just saw a few days ago on TV, there is from the West, so from Japan I mean - I do not have the individual countries in mind - but Japan buys in Bangladesh there the most beautiful piece of land for golf courses, where water is wasted and lawn and the food basis is partly taken away. That is in Africa, that is in Bangladesh, in India, so the poorest are taken away land where they have grown vegetables for stupid golf courses. Nothing against golf, but I think that's really unbelievable in part.	de	[38:44] Soweit ich informiert bin, gerade im Irak, das Öl, das, an dem sich mehr oder weniger die Amerikaner dumm  und dämlich [verdienen] an dem irakischen Öl. Und nochmal zu den armen Ländern, wo es ja die Flüchtlinge her gibt, da habe ich gerade vor ein paar Tagen im Fernsehen gesehen, da wird vom Westen, also von Japan meine ich – ich habe nicht die einzelnen Länder im Kopf – aber Japan kauft in Bangladesch da das schönste Stück Land für Golfplätze, wo Wasser verschwendet wird und Rasen und denen die Nahrungsgrundlage zum Teil weggenommen wird. Das gibt es in Afrika, das gibt es in Bangladesch, in Indien, also den Ärmsten wird Grund und Boden weggenommen wo sie ja Gemüse angebaut haben für blöde Golfplätze. Nichts gegen Golf, aber ich finde das ist wirklich unglaublich zum Teil. [39:30]	2
There are so many workers from Poland and everywhere from Europe in Germany. These are not illegal immigrants and then we have enough. Who come to stab asparagus, who work everywhere. For example, they would be very welcome in the nursing care insurance. But the German state does not allow that. And I would still have a problem with legal immigration. I would be for it, after the reunification, after 20 years, we still have so many problems. And all those who wanted to come, we could try with a blue card. Just like America does. And then Mr. Schröder, the old chancellor, tried that, but it didn't work. Nobody came, right? That's how I see it, it wouldn't do any good. But these immigrants who take advantage of the social systems, who exploit the social systems, they would have to be recorded according to quotas in Germany. I would be in favor of that.	de	[2:15] es gibt doch in Deutschland so viele Arbeiter aus Polen und überall aus Europa. Das sind doch dann keine illegalen Einwanderer und dann haben wir doch genug. Die zum Spargelstechen kommen, die überall arbeiten. Zum Beispiel in der Pflegeversicherung wären die herzlich willkommen. Aber das lässt ja der Deutsche Staat nicht zu. Und mit der legalen Einwanderung hätte ich noch ein Problem. Ich wäre dafür, nach der Wiedervereinigung, nach 20 Jahren, haben wir noch so viele Probleme. Und alle, die kommen wollten, wir könnten doch mal versuchen, mit ner Bluecard. Genau so wie es Amerika macht. Und daraufhin hat Herr Schröder ja damals, der alte Bundeskanzler, der hat ja das versucht, aber es hat ja nicht geklappt. Es ist keiner gekommen, ne? So sehe ich das, das würde ja auch nichts nützen. Aber diese Immigranten, die in die Sozialsysteme, die die Sozialsysteme ausnutzen, die müssten quotenmässig erfasst werden in Deutschland. Dafür wäre ich. [3:17]	0
According to Sasha’s comments, we could refer the subject of war. Mainly because this whole budget which goes to maintain military and other not necessary things could go to help immigrants. Here we would have a good starting point in providing them with assistance.	pl	[44:24]According to Sasha’s comments, we could refer the subject of war. Mainly because this whole budget which goes to maintain military and other not necessary things could go to help immigrants. Here we would have a good starting point in providing them with assistance.[44:48]	2
well, the philosophy of Islam is based on theocracy and not democracy. It makes a difference. It brings a different worldview. Because there, you base yourself on the morality that comes directly from the Koran. The way of thinking is quite different. The idea of morality is quite different. In Tenerife we have had many problems. So I'm a teacher and yes with the veil, there were some problems. The young girls come to school with the veil. If we want education and we want democracy, then what? Then everybody has to be equal. We said we don't want the veil to be put on and then the children were not sent to school. Rather that than that the parents would have allowed the veil to be dropped. Then the children don't go to school anymore. That was the result. In the Canary Islands, of course, we live with tourism. The Germans, the English come to us. We are a friendly host country, but there are demographic pressures. And it used to be quiet with us, but that quietness is gone. And then to the prisons. To the criminals that were addressed. Our prisons, they are hotels, so that is very different in our country than in other countries. The people are fine. They have food, people are taken care of, that's not so normal in our country. Regarding the Turkish residents and their integration: we have a problem with Eastern Europe, with people who came to us, to the Canary Islands, and there we tried to integrate the people, we had teachers who were supposed to remove the language barriers. That just to make it possible that the children at least know the local language.	de	[46:16] nun, die Philosophie des Islam basiert auf der Theokratie und nicht auf der Demokratie. Es macht einen Unterschied. Das bringt ein anderes Weltbild mit sich. Denn dort basiert man sich auf die Moral, die direkt aus dem Koran kommt. Die Denkweise ist ganz anders. Die Vorstellung von der Moral ist ganz anders. In Teneriffa haben wir viele Probleme gehabt. Also ich bin Lehrkraft und ja mit dem Schleier, da gab es einiges an Problemen. Die jungen Mädchen kommen mit dem Schleier in die Schule. Wenn wir Bildung wünschen und Demokratie wünschen, was dann? Dann müssen doch alle gleich sein. Wir haben gesagt, wir möchten, dass der Schleier nicht angezogen wird und dann wurden die Kinder nicht mehr zur Schule geschickt. Eher dass, als dass die Eltern zugelassen hätten, dass der Schleier wegfällt. Dann gehen die Kinder nicht mehr zur Schule. Das war das Ergebnis. Auf den Kanarischen Inseln leben wir natürlich auch mit dem Tourismus. Die Deutschen, die Engländer kommen zu uns. Wir sind ein freundliches Gastland, aber es gibt demographischen Druck. Und früher war es bei uns ruhig, aber diese Ruhe ist weg. Und dann zu den Gefängnissen. Zu den Kriminellen, die angesprochen wurden. Unsere Gefängnisse, das sind Hotels, das ist bei uns also ganz anders als in anderen Ländern. Den Leuten geht’s gut. Sie haben zu Essen, die Leute werden versorgt, das ist bei uns ja nicht so normal. Zu den türkischen Mitbewohnern und ihre Integration: wir haben ein Problem mit Osteuropa, mit Leuten, die zu uns kamen, auf die kanarischen Inseln und da haben wir versucht, die Leute zu integrieren, wir hatten Lehrkräfte, die die sprachlichen Barrieren aufheben sollten. Das halt um zu ermöglichen, dass die Kinder zumindest die Landessprache beherrschen.  [49:03]	0
Corruption, it's at the many levels. That is to say that - as I said earlier - there are elections that take place, someone is democratically elected and everything is rigged so that the other is elected because the other has - as Pierre said earlier - he has the people, the economic powers, the international firms. Because with them, the agreements between countries and countries, they are not interested, they always want - for example in the oil wells, I speak for example in my country there is all the gold and diamonds, I do not know if you watch often enough the TV, there is the Congo, Rwanda, there, the ore that is there, all the laptop of the world, it is the ore that is there. So they don't want that - the country is not an exporter of these minerals, it is another country opposite that is an exporter. To show you how the complicity of things is, they want, they put someone in their place and the companies there exploit practically for free with those who corrupt Africans to make wars, because with money you can do everything - maybe not in Europe, but in Africa with money you can do everything. So they play on that and that's why there is war all the time, so they can profit. They don't want there to be safe structures for it to work, that's it. There was [... I have a brother in the village who is - if I don't send him a shirt, he doesn't wear it - he's happier than I am, because when I see all this, it's unfortunate, as we said earlier in the questionnaires, I'm French but there's no one who would really like to leave their country to - even though I have cars here and all that, I would have preferred - and with that help by the way, I studied to help these little ones because I, until I was six years old, I didn't wear shoes and now then now, people wear shoes but I can't, it's even worse these days, that's the problem.	fr	[36:16] La corruption, elle est aux plusieurs niveaux. C'est-à-dire que – comme j’ai dit tout à l’heure – il y a les élections qui se passent, quelqu’un est élu démocratiquement et on truque tout pour que l’autre soit élu parce que l’autre il a – comme Pierre à dit tout à l’heure – il a les gens, les pouvoirs économiques, c’est les firmes internationaux. Parce que avec eux, les accords entre pays et pays, ça ne leurs intéressent pas, ils veulent toujours – par exemple dans les puits de pétrole, je parle par exemple chez moi il y a tout de l’or et des diamants, je ne sais pas si vous regardez assez souvent la télé, il y a le Congo, le Rouanda, là, le minerai qui est là-bas, tout le portable du monde, c’est le minerai qui est là-bas. Donc ils ne veulent pas que – le pays n’est pas exportateur de ces minerais là, c’est un autre pays en face qui est exportateur. Pour vous montrer comment la complicité des choses c'est-à-dire ils veulent, ils on mit quelqu’un à leur place et les firmes-là exploitent pratiquement gratuitement avec ceux qui corrompent les Africains pour faire des guerres, parce qu´avec l’argent on peut tout faire – peut-être pas en Europe, mais en Afrique avec l’argent vous pouvez tout faire. Alors, ils jouent sur ça et c’est pour ça qu’il y a la guerre tout le temps pour qu’ils profitent. Ils ne veulent pas qu’il y ait des structures sûres pour que ça fonctionne, c’est ça. Il y avait […] chez nous qui est arrivé et qui occupe tout, d’ailleurs moi, je vous parle j’aurais même préféré de rester sans civilisation parce que c’est – j’ai un frère qui est au village qui est – si je ne lui envoie pas une chemise, il ne porte pas - il est plus heureux que moi, parce que moi en voyant tout ça, c’est malheureux, c’est comme on a dit tout à l’heure dans les questionnaires, je suis français mais il n’y a aucune personne qui aimerait vraiment quitter son pays pour – même si j’ai des voitures ici et tout ça, j’aurais préféré – et avec ça aider d’ailleurs, j’ai fait des études pour aider ces petits là parce que moi, jusque à l’âge de six ans, je ne portait pas des chaussures et maintenant alors actuelle, les gens portent des chaussures mais je ne peux pas, c’est encore pire encore ces dernières temps, voilà le problème. [39:02]	2
"It bothers me a little that the subject of immigration is reduced to religious choice, as if the fact of having such or such a religion implies that one has a certain culture at all times in one's life. I would like to say in this regard that when we look at the second half of the 19th century in France, how in Anger for example, in the West of France, we spoke of Bretons who were also French, and also Christians, we spoke of them in exactly the same terms as we use today for immigrants coming from Black Africa or North Africa for France in any case, exactly in the same terms. So, it bothers me that this is reduced to, how can I put it, a tree that hides a forest. That's it. So what bothers us about the arrival of these people? What is it that bothers us? And here I'm just talking about the word ""immigration"", afterwards, there is also the word ""illegal"". That would perhaps have to be known at another time . But what is it that bothers us?"	fr	[06:48] Moi, ça me gène un peu qu’on réduise le sujet de l’immigration au choix religieux, comme si le fait d’avoir tel ou tel religion ça impliquait qu’on avait une certaine culture dans tous les moments de sa vie. Je voudrais dire à ce propos que quand on regarde dans la deuxième moitié du 19ème siècle en France, comment  à Anger par exemple, à l’Ouest de la France on parlait de Bretons qui étaient aussi des français, et aussi des chrétiens, on en parlait exactement dans les mêmes termes que ce qu’on emploie aujourd’hui pour les immigrés venant d’Afrique noire ou d’Afrique du Nord pour la France en tous cas, exactement dans les mêmes termes. Donc, moi ça me gène qu’on réduise ça à, comment dire, un arbre qui cache une forêt. Voilà. Qu’est-ce qui nous gène donc dans la venue de ces gens là ? Qu’est-ce qui nous gène ? Et là je parle simplement par rapport au mot « immigration », après, il y a aussi le mot « illégal ». ça se faudrait peut-être connaitre bien un autre moment[ ?]. Mais qu’est-ce qui nous gène ? [07 :57]	0
What Alberto was saying was also very accurate. That is to say, when the economy is going well, we have to see that the Western countries have helped themselves in a certain way. It's a bit like getting more mobile figures. They look for firemen, doctors, etc., by qualifying the individuals only in relation to their profession. And when we talk about immigration chosen by the state or by companies, we are well within this; we are not talking about looking for individuals, human beings, but we are talking about looking for skills, assuming that when we no longer need them, people will go home, which can be envisaged, but the problem is that things never happen like that and if we, in our countries, which are certainly in crisis and in fear [? ], extremely protected from many things, we are one day confronted with choices of departure of this type. I am losing my family and I am not sure that my first thought would be to say to myself, does the country I want to go to absolutely need me as a graphic designer or as a doctor? I would think, is it going to be better for me if I go there. That's why people immigrate. So it's not necessarily what we want when they come to us. But that's why people come, it's not for anything else. They don't come for... So, that's one aspect of it. So, and especially what bothers me about this, in the stories of selected immigration and quotas, it means that people come with a certain profile and it's assumed that they're not going to change their [professional] path. And this will be the case more and more. Today, professional paths are no longer linear. You're not going to enter an activity and leave it at retirement. If (... ...) there is a retirement. If we refuse this flexibility, we will have neither the disadvantages nor the benefits, and in terms of benefits, I think that having flexibility on immigration will also mean that things will inevitably balance out. Now, I think we can see that Spain is in a period that France has experienced   and that it will perhaps recognize again. But we can see that the perception is different from what we say, stems a lot from this somewhat violent confrontation that you have at the moment, in fact, with the added situation of crisis that exacerbates all this. That's it.	fr	[10 :45] Ce que disait Alberto était très juste aussi. C'est-à-dire, quand l’économie va, il faut bien voir que les pays occidentaux se sont servis d’une certaine manière. Un petit peu comme on va chercher des figurines plus mobiles. On va chercher des pompiers, des médecins, etc., en qualifiant les individus uniquement par rapport à leur métier. Et quand on parle d’immigration choisi que ce soit par l’état ou par l’entreprises, on est bien  là dedans ; on ne parle pas de chercher les individus, des êtres humains, mais on parle bien de chercher des compétences, en supposant que quand on n’aura plus besoin, les gens rentrent chez eux, ce qui peut être envisager, mais le problème c’est que les choses ne se passent jamais comme ça et si nous, dans nos pays, qui certes sont en crise et en peur[ ?], extrêmement protéger de beaucoup de choses, nous sommes un jour confronter à des choix de départ de ce type là. Moi je perds de famille et je ne suis pas sur que ma première réflexion serait de me dire est-ce que le pays dans lequel je veux aller a absolument besoin de moi en tant que graphiste ou en tant que médecin. J’allais plutôt me dire, est-ce que ma situation va être meilleure si j’y vais. C’est pour ça que les gens immigrent. Alors, ce n’est pas forcement ce que nous souhaitons quand ils viennent chez nous. Sauf que c’est pour ça que les gens immigrent, ce n’est pas pour autre chose. Ils ne viennent pas pour… Donc, ça c’est un aspect des choses. Donc, et surtout ce qui me dérange là-dedans, dans les histoires d’immigration choisi et des quotas, ça signifie que les gens viennent avec un certain profile et on suppose qu’ils ne vont pas changer de voie [professionnelle].  Et ça sera le cas de plus en plus. Aujourd’hui les parcours professionnels ne sont plus linéaires. On ne va pas entrer dans une activité et en sortir à la retraite. Si (… …) il y a une retraite. Si on refuse cette souplesse là, on en aura ni les inconvénients, ni les bénéfices et en terme des bénéfices, je pense que devoir de la souplesse sur l’immigration, ça voudra aussi dire que les choses forcément s’équilibreront. Maintenant, je pense qu’on voit bien que l’Espagne en est à une période que la France a connu [13 :10] [00 :00] et qu’elle reconnaitra peut-être de nouveau. Mais on voit bien que la perception elle est différente de ce qu’on dit, découle beaucoup de cet affrontement un peu violent que vous avez en ce moment en fait, avec en plus la situation de crise qui exacerbe tous ça. Voilà. [01 :18]	3
You were talking about wanting to stop specialists, now you're talking about not extending the visa - what are we actually talking about here?	de	[41:25] Sie sprachen davon, Spezialisten halt zu wollen, jetzt reden Sie davon, das Visum nicht zu verlängern – worum geht es denn hier eigentlich? [41:36]	2
yes, so I suggest that we are Spanish and German here, can we have questions on both sides, on Spanish and on German...	de	[1:20:07] ja, also ich schlage vor, dass wir ja hier Spanier und Deutsche sind, kann man doch auf beiden Seiten, auf spanischer und auf deutscher Fragen… [1:20:15]	0
I work in an organization for these people so as a volunteer and I have experienced that when these immigrants have found a suitable job they are more satisfied than when they have no job. And so what the European Union would like, that is to say this economic solution, is also a factor of satisfaction for these new European citizens. Thank you.	fr	[15:08] Je travaille dans une organisation pour ces personnes-là donc comme volontaire et j’ai fait l’expérience que quand ces immigrés ont trouvé un poste de travail adéquat ils sont plus satisfait que quand ils n’ont pas de travail. Et donc ce que l’Union Européenne voudrait, c'est-à-dire cette solution économique, c’est aussi un facteur de satisfaction pour ces nouveaux citoyens européens. Merci. [15:42]	2
[Yes, I have another question] and that is here in the booklet where it sort of says: Which immigrants are we talking about, the legal ones or the illegal ones? So about the illegal ones is it about the non-EU countries, so about those who are not in the EU countries? Because I think it's kind of very opaque otherwise.	de	[27:25] [Ja ich hätte da noch eine Frage] und zwar hier in dem Heftchen wo da sozusagen steht ja drin: Um welche Einwanderer geht es denn um die legalen oder um die illegalen? Also um die illegalen geht es um die EU-Nichtstaaten, also um die, die nicht in den EU-Ländern sind? Weil ich finde das sonst irgendwie sehr undurchsichtig. [27:46]	0
Indeed I agree with Corentin who said that everything had to be put back on track and new rules and new laws had to be redrafted in order to welcome and to know the name because, in order to be able to welcome them, we have to have the hospital means, the habitat, We can't put people back on the street, so that's why I think we have to do something new that mixes all these solutions and first of all, we have to help them to stay in their countries, while making sure that the money is not diverted. We must also start from a chosen immigration and include illegal immigrants. Now, political immigrants are completely complicated. That's another debate I think.	fr	[46:22] Effectivement je suis d’accord avec Corentin qui disait qu’il fallait tout remettre à plat et refaire des règles nouvelles et des lois nouvelles pour accueillir et pour savoir le nom parce qu’il faut derrière pour pouvoir les accueillir il faut avoir les moyens hospitaliers, l’habitat, on ne va pas remettre des gens dans la rue, donc c’est pour ça que je pense qu’il faut faire quelque chose de nouveau qui mixe un petit peu toutes ces solutions et d’abord la première chose c’est une aide pour qu’ils puissent rester dans leurs pays, en faisant évidemment attention que l’argent ne soit pas détourné. Il faut aussi partir d’une immigration choisie et inclure dedans peut-être des immigrés illégaux. Maintenant les immigrés politiques c’est complètement très compliqué. Ça c’est un autre débat je pense. [47:15]	3
So the fundamental question, I'm already of the opinion that it needs an EU-wide regulation because otherwise we are the - given the point of view that one country makes an illegal immigrant out of a legal immigrant and who would have to fear that he is then just deported, as far as it is legally possible with all the consequences; But if another country says that he cannot become an illegal immigrant for us because he has already entered the country legally, then perhaps the door would be opened in the direction that more would come who would consciously accept that their visas would expire. And then the difference would be much too big and [the disparity] in my opinion, but I don't know if you can regulate that or not.	de	[48:09] Also die grundlegende Frage, da bin ich schon der Meinung, dass es einer EU-weiten Regelung bedarf weil sonst sind wir ja das – gegeben den Standpunkt, dass das eine Land aus einem legalen Einwanderer einen illegalen Einwanderer macht und der befürchten müsste, dass er dann eben abgeschoben wird, soweit es rechtlich möglich ist mit allen Konsequenzen; wenn ein anderes Land aber sagt, der kann für uns kein Illegaler werden, weil er eben schon mal legal eingereist ist, dann wäre vielleicht dann doch da Tür und Tor geöffnet in der Richtung, dass mehr kämen, die das bewusst in Kauf nähmen, dass dann ihre Visas ablaufen. Und da wäre dann der Unterschied viel zu gross und [das Gefälle] meiner Meinung nach, aber ich weiss es nicht, ob man das regeln kann oder nicht. [48:52]	0
We have now once contrasted Germany and Poland - no not contrasted, but we have once looked - we are within the EU and what these are already for differences in the cost of living and in the lifestyles, in the wages, in everything. We are supposed to discuss how it is with people who come from outside the EU, that is, I often think of - well, I always have pictures of Africa in my mind when I think of this topic, where people are - the conditions, I don't think I can capture them all. And when we see how widespread it already is here, and I'm thinking of the Polish asparagus diggers, of the seasonal workers who were no longer allowed to come over here a few years ago, because it was precisely the EU that imposed the restrictions, because that's what the German workers wanted. The result was that at some point these jobs were no longer done; so in a certain way you also have to look at who is willing to do this work and who does it. And we have to look at what about people who come from further away and how we want to deal with them. And I think we have just said, in legal migration, that we are actually not afraid of it or that we don't see any regulations, but I still see the difficulty, what do we do with the illegals - and maybe we should discuss that again.	de	[29:24] Wir haben jetzt mal Deutschland und Polen gegenüber – nein nicht gegenüber gestellt, aber wir haben einmal geschaut – wir sind innerhalb der EU und was das schon für Unterschiede sind in den Lebenshaltungskosten und in den Lebensweisen, in den Löhnen, in allem. Wir sollen ja darüber diskutieren, wie es mit Menschen ist, die von ausserhalb der EU, sprich, ich denke ganz oft von – also ich hab immer Bilder von Afrika vor Augen, wenn ich an diese Thematik denke, wo Menschen sind – die Bedingungen, ich glaube, ich kann sie gar nicht alle erfassen. Und wenn wir sehen, wie breitflächig das hier jetzt schon ist und ich denke gerade bei Polen an die polnischen Spargelstecher, an die Saisonarbeiter, die ja vor einigen Jahren nicht mehr hier rüber kommen durften, weil ja genau die EU die Beschränkungen auf erlegt hat, weil das die deutschen Arbeiter gerne so wollten. Das Ergebnis war das, dass diese Arbeiten irgendwann nicht mehr verrichtet wurden; also in gewisser Weise muss man auch schauen, wer ist bereit diese Arbeit zu machen und wer tut es auch. Und wir müssen schauen, was ist mit Menschen, die noch weiter herkommen und wie wollen wir mit denen umgehen. Und ich denke wir haben eben schon gesagt, in der legalen Migration, dass wir da eigentlich keine Angst davor haben oder dass wir keine Reglementierungen sehen, aber ich sehe immer noch die Schwierigkeit, was machen wir mit den Illegalen – und das sollten wir vielleicht nochmal diskutieren. [30:57]	0
In my opinion, if they take the risk here in Europe, if they take the risk that they will be sent back, that's my opinion. And well, it's on their own account. So obviously, they don't have any money. So they still have to be sent back, I think. As much as they are illegal, they have to be sent back too. And nothing more to allow them to live here, if they don't have a house, if they don't have a job, in the end it's still the European community that has to pay the costs.	fr	[13 :25] selon moi, je trouve que – à parti de moi – s’ils prennent le risque comme ça ici en Europe, qu’ils prennent en effet ce risque qu’ils sont aussi renvoyés, voilà, c'est mon avis. Et bon, c'est à leur compte, quoi. Alors évidement, ils n’ont pas de l’argent. Donc il faut quand même - fallait les renvoyer je trouve. Autant qu’illégaux, il faut les renvoyer aussi. Et non rien de plus leur permettre de vivre ici, s’il n’y ont pas de maison, s’il n’y ont pas de travail, finalement c'est quand même de nouveau la communauté européenne qui doit payer les frais. [14 :00]	0
I think we will also find intersections between the issue tomorrow and today. Because the topic of climate change; and this is based a little bit on what Manuel said; eliminating climate change and also creating conditions everywhere equally, also means investing in education, in economy, both in our country and in our neighboring countries outside the EU. So that probably tomorrow we will discover points of intersection, possibly even find solutions for both problems. Is just a hope.	de	[44:40] Ich denke, wir werden auch Schnittpunkte zwischen dem Thema morgen und heute finden. Weil das Thema Klimawandel; und das begründet sich so ein bisschen auf die Aussagen von Manuel; Beseitigung des Klimawandels und auch Voraussetzungen überall gleich zu schaffen, bedeutet ja auch Investition in Bildung, in Wirtschaft, sowohl bei uns als auch in unseren Nachbarländern ausserhalb der EU. So dass wir wahrscheinlich morgen noch Schnittpunkte entdecken werden, womöglich sogar Lösungsansätze für beide Probleme finden. Ist nur eine Hoffnung. [45:17]	2
I'm a little ashamed, I can't compare much. I think that all immigrants who want to work, should have the right to come and settle. Now, if they come with other thoughts that are not those of work, then they should not come, they should stay at home. I live in the Canary Islands, in La Gomera, and there is a lot of immigration, a lot of makeshift boats arriving on the coast. And lately, there have been more and more people arriving. I have the impression that they were able to get along quite well. I have the impression that they adapted easily, they studied, they adapted to the local color. Didn't cause any trouble at all from there. We treated them well, they did the same. That's all I have to say.	fr	[00:25] J’ai un peu honte, je ne peux pas beaucoup comparer. Je crois que tous les immigrés qui souhaitent travailler, doivent avoir le droit de venir s’installer. Maintenant, s’ils viennent avec d’autres arrières pensées qui ne sont pas celles donc du travail, alors il ne faut pas qu’ils viennent, ils restent chez lui. Je vis dans les Îles Canaries, à la Gomera et il y a beaucoup d’immigration, beaucoup d’embarcation de fortune arrivant sur les côtes. Et dernièrement, il y en a eu sans cesse des gens qui arrivent. Moi, j’ai l’impression qu’ils se supportaient assez bien. J’ai l’impression qu’ils s’adaptaient facilement, ils étudiaient, ils adaptaient au couleur  locale. N’ont causé aucun de souci au lien de là. On les a bien traités, ils ont fait pareil. Voilà, c’est tous ce que j’ai à dire. [01 :30]	0
