cleaned_comment	orig_lang	speech	justification
1010 In Holland, we have employees who employ workers illegally. It was said in the Dutch newspapers that some sanctions will be imposed upon those employees and that they will be punished. Of course there are also immigrants who have to survive and in order to that, they need to work, even under very hard conditions. I would like to know your opinion on this matter.	pl	1010[09:46] In Holland, we have employees who employ workers illegally. It was said in the Dutch newspapers that some sanctions will be imposed upon those employees and that they will be punished. Of course there are also immigrants who have to survive and in order to that, they need to work, even under very hard conditions. I would like to know your opinion on this matter.  [00:21]	1
Yeah, I have my doubts about that. The people who come into the EU by plane come as tourists. They have enough money, they can stay here as tourists for three months. If they stay after that, I don't see any other solution than having them followed by the police or whatever. I don't know how else to solve it, so maybe it's not what we want. The situation in Spain is very clear. You arrive. In some Latin American countries, they need a visa, they need to be invited. There is a quota that has been worked out with the relevant countries. So there they have to be invited and prove that they have enough resources. Now on the subject of immigration to the United States. That's where they ask you where you plan to live, that's then entered and can possibly be reviewed within the next five days. They rarely do that, of course, but they can then intervene if the worst comes to the worst, and we can put those kinds of checks in place. They should be able to prove that they have sufficient funds, and with the Americans, they should definitely have an invitation. If they don't have an invitation, they will be sent back.	de	[31:18] Ja, ich hab da so meine Zweifel. Die Leute, die mit dem Flugzeug in die EU reinkommen, kommen als Touristen. Die haben genügend Geld, die können hier als Touristen drei Monate bleiben. Wenn sie danach bleiben, sehe ich nichts anderes als Lösung als sie verfolgen lassen von der Polizei, oder sonst was. Ich weiss nicht wie man das sonst lösen könne, also es ist vielleicht nicht, was wir uns wünschen. Die Lage in Spanien ist ganz klar. Du kommst an. In manchen lateinamerikanischen Ländern brauchen sie ein Visum, sie müssen eingeladen werden. Es gibt eine Quote, die ausgearbeitet worden ist mit den entsprechenden Ländern. Da müssen sie also eingeladen werden und beweisen, dass sie über genügend Mittel verfügen. Nun zum Thema der Einwanderung in die Vereinigten Staaten. Da wird man gefragt, wo du vor hast, zu leben, das wird dann eingetragen und kann möglicherweise überprüft werden innerhalb der nächsten fünf Tage. Das tun sie natürlich selten, aber sie können im Falle des Falles dann eingreifen und solche Kontrollen können wir bei uns einführen. Sie sollen beweisen können, dass sie über genügend Mittel verfügen und bei den Amerikanern sollten sie unbedingt über eine Einladung verfügen. Wenn sie keine Einladung haben, werden sie zurück geschickt. [33:22]	1
Yep, more and more industries, many industries have now, to protect workers in many areas, and that's related to..., we have a minimum wage. I bring examples, building cleaners now...	de	[45:12] Jaja, immer mehr Branchen, viele Branchen haben inzwischen zum Schutz der Arbeitnehmer in vielen Bereichen, und das hängt mit…, haben wir ein Mindestlohn. Ich bringe Beispiele, Gebäudereiniger inzwischen…[45:29]	0
Yes, let's say that in fact, I completely agree with illegal immigration. It's a common thing, because otherwise it's more or less illogical or whatever. On the other hand, it also lays the foundations for legislation at the European level. So what is feasible, what is not? That's it. Can some countries, here, (... ...), say to themselves, well, we'll take, we'll take this and we'll leave the rest.	fr	[10 :27] Oui, disons qu’en fait, moi je suis tout à fait d’accord par rapport à l’immigration illégale. Effectivement, ce soit quelque chose de commun, puisque autrement c’est plus ou moins illogique ou quoi. Par contre, voilà, ça pose aussi les bases de la législation au niveau européen. Donc qu’est-ce qui est faisable, qu’est-ce qui n’est pas ? Voilà. Est-ce que certains pays peuvent, voilà, (… …), se dire mais bon, on prend, on prend ça et voilà, on laisse le reste. [11 :03]	1
I think it would be important, in the country where these people come from, that they already deal with both aspects. The fact that they leave their country is already sad perhaps. But if in their own country, they could already benefit from better living conditions, it would be much better than having to leave, as refugees, to leave the whole family, to go on a very long journey and to leave in a completely foreign country. So I think that the countries of the European Union should, among themselves, focus on helping people to stay in their own country by improving the living conditions in their own country. This would avoid the need to emigrate again. I think that international collaboration is good.	fr	[19 :01] Je crois, que ce serait important, dans le pays d’où viennent ces gens que ces gens s’occupent déjà de l’un et l’autre aspect. Le fait qu’ils quittent leur pays c’est déjà triste peut-être. Mais si dans leur propre pays, ils pourraient déjà bénéficier de meilleurs conditions de vie, cela irait bien mieux que devoir, comme des réfugiés devoir partir, quitter toute la famille, aller au très grand voyage et partir dans un pays tout à fait étranger. Donc je trouve que les pays de l’Union Européenne devraient, entre eux, centrer d’aide pour essayer de maintenir les gens dans leur propre pays en améliorant justement les conditions de vie dans leur propre pays. Alors donc, cela pourrait éviter le fait de devoir obligatoirement encore émigrer. Je trouve qu’une collaboration international c’est bien. [20 :08]	2
Well, closing the borders. I do not think that is an option. For me, there is no such option at all. I do not know either whether it would have any financial or economic influence. Most of all, I am thinking about the humanitarian issues. We live relatively comfortable here in Europe, at least in Western Europe, but somewhere else in the world, those who do not have such good conditions should have a right to use it. However, the criteria should be rigorous. Being a member of the EU, one should work it out on the EU level, because when all countries start to regulate their own laws and regulations, it would lead to a complete chaos. I believe that opening the borders fully would have negative consequences. Such situation occurred in Holland and we have noticed it many times. That is all on this issue.	pl	[32:20] Well, closing the borders. I do not think that is an option. For me, there is no such option at all. I do not know either whether it would have any financial or economic influence. Most of all, I am thinking about the humanitarian issues. We live relatively comfortable here in Europe, at least in Western Europe, but somewhere else in the world, those who do not have such good conditions should have a right to use it. However, the criteria should be rigorous. Being a member of the EU, one should work it out on the EU level, because when all countries start to regulate their own laws and regulations, it would lead to a complete chaos. I believe that opening the borders fully would have negative consequences. Such situation occurred in Holland and we have noticed it many times.  That is all on this issue.   [33:22]	3
But yes, but each state should have autonomy on its own territory. Because it is sovereign. It is not going to be overruled by the EU. [1 :	fr	[1 :37 :12] Mais oui, mais chaque état devrait avoir l’autonomie sur son propre territoire. Parce qu’il est souverain. Il ne va pas être annulé par l’UE. [1 :37 :23]	2
If everyone knew, there would be no problem with this illegal immigration. So it’s hard.	pl	[54:19]If everyone knew, there would be no problem with this illegal immigration. So it’s hard.[54:28]	1
I think, finally, I come from a region where there are not many immigrants, so I am perhaps not in a good position to speak, but I think that immigration poses problems, in Europe and elsewhere, it is not the immigrants who work, I think that it is rather the immigrants who do not work. I think that if all immigrants worked, we wouldn't have such a problem. I have the impression from afar that family reunification, company, that's a lot of people and I'm not making any judgement on that, but the fact that when you see all the Afghan and Pakistani illegal immigrants who want to come to Great Britain, they want to go to work. It seems clear. And they are prevented from crossing when they want to work. And there are many of them who are here, but I am not sure that they really want to work. So, this question is also taboo, because if we say that we are anti-immigrants, then, I believe that the question is not the same, but there is an immigration for work and an immigration even if the adaptation was difficult, also that at the level of social protection, a coverage that is not [...]. I think that attracts them too.	fr	[45 :14] Je crois enfin, je viens d’une région où il n’y a pas beaucoup d’immigres, donc je suis peut-être mal placé pour parler, mais je crois que l’immigration qui pose des problèmes, en Europe et ailleurs, ce ne sont pas les immigrés qui travaillent, je pense que se sont plutôt les immigres qui ne travaillent pas. Qui ne cotisent pas tellement en fait, je pense que si toutes les immigrées travaillaient, on n’aurait pas tellement un souci. J’ai l’impression de vue de loin que justement regroupement familial, compagnie, ça fait beaucoup de monde et je ne fait pas de jugement là-dessus mais le fait que, quand on voit tous les clandestines afghanes et pakistanais qui veulent en Grande Bretagne, eux, ils veulent passer pour travailler. Ça semble clair. Et on les empêche de passer lors qu’ils veulent travailler. Et il y a en a beaucoup qui sont là mais, je ne suis pas sur qu’ils veulent vraiment travailler. Alors, cette question est tabou aussi, parce que si on dit qu’on est anti-immigrés, puis, je crois que la question n’est pas la mais il y a une immigration pour le travail et une immigration même si l’adaptation était difficile, aussi qu’au niveau de protection social, une couverture qui n’est pas […].  Je pense que ça les attire aussi. [46 :36]	2
I would like to react to what Rudolf said. Rudolf, I think you're right, but it also means not to do selective immigration as we're talking about now, it's to pull the brains out of these countries. And I think that spending about 1 percent of the BIP on development aid would be cheaper than putting in place an expensive border protection policy. If we manage to [dig up?] the sources of illegal immigration, that would be better than deporting people.  [will noch einen zweiten Punkt aufführen, hat ihn aber vergessen]	fr	[24 :23] Je voudrais réagir à ce qui à dit Rudolf. Rudolf, je pense que vous avez raison mais cela suppose aussi de ne pas faire d’immigration choisie comme on parle maintenant, c’est de tirer les cerveaux de ces pays. Et je pense que de consacrer en effet un peu près 1 pourcent du BIP à l’aide au développement reviendrait moins cher que de mettre en place une politique de protection aux frontières qui nous gouterait chère. Si on arrive à [déterrer ?] les sources de l’immigration clandestine, surtout, ça sera déjà mieux que de reconduire à la frontière les gens. [25 :02]  [will noch einen zweiten Punkt aufführen, hat ihn aber vergessen]	3
So there you go, we see, Björn, okay you're right, that's good but to finish, this problem of integration no matter what country and people have to be ready to want if some people are avoided to come and they don't want to react, it won't be anything. No, they are welcome but they should also - they should be able to speak the language a little bit and they should be able to discuss more or less, they should be able to adapt to the situation more or less. And so they should be able to adapt a little bit because if not, we won't make it and so we come to the point that has already been discussed that is the creation of ghettos and that in these ghettos - and I don't know where you live - and so maybe - I don't know if you live in a ghetto, I don't know. I've always had good contacts with those people but certainly also other examples with bad examples, with bad experiences : it's also an anxiety that is created, it's not the anxiety in front of immigration, it's rather the anxiety in front of a violence in front of people who - sometimes the look already kills, sometimes the look is already hurtful and so it's him who has to work that, I have been to Africa myself and it is there that we must intervene with the ministers and so on, so that the European Union acts at that level, at the ministerial level, and creates the basis for these people to be able to stay in their countries at that time. Those who come could be better prepared before they come and then they will also be able to live with us and be able to live with us so that we can live together and that it works 100 percent.	fr	[61:15] Bon voilà, on constate, Björn, d’accord tu as raison, c’est bon mais pour finir, ce problème d’intégration peu[ ?] importe les pays et les gens doivent être prêts à vouloir si certaines personnes sont évitement venues et ils ne veulent pas réagir, ça ne sera rien. Non, ils sont les bienvenues mais ils doivent aussi – il faut quand-même faire en sorte qu’ils parlent un peu la langue et qu’ils puissent plus ou moins discuter, qu’ils puissent plus ou moins s’adapter à la situation. Et donc ils devraient être capable de s’adapter un peu parce que si non, on y arrivera pas et donc on arrive au point qui a déjà été discuté c'est-à-dire la création des ghettos et que dans ces ghettos – et je ne sais pas où vous vivez – et donc peut-être que – je ne sais pas si tu vis dans un ghetto, je ne sais pas. J’ai toujours eu des bons contacts avec ces gens-là mais certainement aussi d’autres exemples avec des mauvais exemples, avec des mauvais expériences : c’est aussi une angoisse qui se crée, ce n’est pas l’angoisse face à l’immigration, c’est plutôt l’angoisse face à une violence face à des personnes qui – parfois le regard tue déjà, parfois le regard est déjà blessant et donc c’est lui qui faut travailler ça, qui faut être actif et donc j’ai été moi-même en Afrique et donc et c’est là qu’il faut intervenir avec les ministres et cetera que l’Union Européenne agisse à ce niveau-là, au niveau ministérielle et crée les bases pour que ces gens-là puissent rester dans leurs pays à ce moment-là. Ceux qui viennent pourraient être mieux préparés avant de venir et à ce moment-là ils seront aussi capable de vivre chez nous nous et seraient capable de vivre avec nous pour qu’on puisse vivre ensemble et que cela fonctionne à 100 pourcent. [63:42]	3
When it comes to assimilation within the EU, whether we talk about economic, or any other immigrants, if their culture and roots are similar, the integration will not be so hard at all. However, when one has a different cultural background, the assimilation is not easy. Or in other words, I could say that one can promote assimilation of people with similar cultural backgrounds, and it seems to me that the chances will be much bigger than chances of people with different cultural backgrounds.	pl	[04:56] When it comes to assimilation within the EU, whether we talk about economic, or any other immigrants, if their culture and roots are similar, the integration will not be so hard at all. However, when one has a different cultural background, the assimilation is not easy. Or in other words, I could say that one can promote assimilation of people with similar cultural backgrounds, and it seems to me that the chances will be much bigger than chances of people with different cultural backgrounds. [05:37]	2
I think there is already a fundamental difference based on certain projects. For some people who are already in privileged situations, who can afford higher education and then have the luxury of being able to benefit from the Erasmus program and live elsewhere. When you compare just this kind of contemporary situation with people who are suffering, who are feeling bad. Well, I am not saying that these people should absolutely stay in their own country, but they must have good prospects for the future, for their well-being, in their own country. And this has to be said and repeated in relation to a kind of cooperation aid already in their country. Then they would not feel the need to emigrate.	fr	[22 :16] Je crois qu’il y a déjà une différence fondamentale se basant sur certains projets. Pour certaines personnes qui sont [situés] déjà dans des situations privilégiés, qui peuvent se permettre des études supérieures et qui alors ont le luxe encore de pouvoir bénéficier du programme Erasme et de loger ailleurs. Quand on compare justement ce genre de situation contemporaine avec des gens qui souffrent, qui se sentent mal. Eh bien, je ne dit pas que ces gens devraient rester absolument dans leur pays, mais ils doivent dans leur propre pays déjà avoir de bonnes perspectives d’avenir, de bien-être. Et cela doit être dit et répéter par rapport à une sorte d’aide de coopération déjà dans leur pays. Comme ça, ils n’éprouveraient pas le besoin d’émigrer. [23 :18]	2
Yes well, but if they are legally employed at the end of the contract: are they still entitled to benefits or how? Like the others?	de	[23:19] Ja gut, aber wenn sie legal erwerbstätig sind zum Ende des Vertrages: Haben sie noch Anspruch auf Beihilfen oder wie? Wie die andern auch? [23:28]	0
I agree with Sasha, not because of the immigrants the criminality increased, especially in the charge positions. Today, we have an economic crisis and the situation is more difficult. However, we have problems with gypsies.	pl	[1:35:32]I agree with Sasha, not because of the immigrants the criminality increased, especially in the charge positions. Today, we have an economic crisis and the situation is more difficult. However, we have problems with gypsies. [1:35:57]	1
Before Poland became a member of the EU, the country had relations, significant relations, with eastern countries. I would like to know whether these relations have changed after Poland joined the EU? Were there any positive or negative economic effects? Someone has said it before, my colleague on the left, that one should protect the border. So I would like to know how it translates, also the border, the relations with the eastern countries?	pl	[04:41] Before Poland became a member of the EU, the country had relations, significant relations, with eastern countries. I would like to know whether these relations have changed after Poland joined the EU? Were there any positive or negative economic effects? Someone has said it before, my colleague on the left, that one should protect the border. So I would like to know how it translates, also the border, the relations with the eastern countries?   [05:08]	0
But it also comes from our ex-colonies, from Latin America; we live the same case. In fact, colonies that have a link with Spain; in Latin America, there is always a very close relationship with Spain. Those who come from Africa, that's another debate altogether. But in relation to culture, those who come from Latin America, indeed, they are (...) Spanish-based.	fr	[10 :15] Mais ça vient aussi de nos ex-colonies, de l’Amérique Latine ; on vit le même cas. En effet, des colonies qui on un lien avec l’Espagne enfin ; en Amérique Latine, il y a toujours une relation avec l’Espagne très proche. Ceux qui viennent d’Afrique, c’est tout à fait un autre débat. Mais par rapport à la culture, ceux qui viennent de l’Amérique Latine, en effet, ils sont (…) à base espagnole. [10 :44]	1
I would like to take up again what Agnes said: There I see at least once a chance to make partnerships - I understood that well, so there are partnerships within Europe between individual cities and the idea now carried forward, there partnerships between individual countries of the EC and, I say now in quotes, needy countries. So, in my opinion, this should not be financial aid, but it could be aid on the technical side. I don't know, water shortage, somebody knows a lot about water management, he concentrates on this country, that would certainly be a possibility that would not be dismissed out of hand. But I would think, as you say, that it would be wrong for everybody to give their money somewhere, and then the whole thing just seeps away, that would be bad. That would be bad. And money is power, it always has been and it always will be. And then a corresponding pressure could be exerted by the EU: Do something clever, get your economy back in shape, your agriculture back in shape, so that people have something to eat, so that they don't go hungry, so that they earn money a little bit, so that they don't have any idea of necessarily having to emigrate to Europe whatsoever.	de	[72:04] Ich möchte das nochmals aufgreifen, was die Agnes gesagt hat: Da sehe ich zumindest einmal eine Chance, über Partnerschaften – ich hab das wohl verstanden, es gibt also innerhalb Europas Partnerschaften zwischen einzelnen Städten und der Gedanke jetzt weitergetragen, da Partnerschaften zu machen zwischen einzelnen Ländern der EG und, ich sage jetzt mal in Anführungsstrichen, bedürftigen Ländern. So, aber das sollten dann meines Erachtens keine finanziellen Hilfen sein, sondern das könnten dann Hilfen sein, auf der technischen Seite. Was weiss ich, Wassermangel, irgendjemand versteht besonders viel von Wasserwirtschaft, der konzentriert sich eben auf dieses Land, das wäre sicherlich eine Möglichkeit, die nicht von der Hand zu weisen wäre. Aber ich würde es, wie du sagst, das für falsch halten, wenn jeder sein Geld irgendwo gibt, und das ganze eben dann versickert, das wäre schlecht. Das wäre schlecht. Und Geld ist Macht, das war schon immer so und das wird es immer bleiben. Und dann könnte von der EU ein entsprechender Druck ausgeübt werden: Macht etwas gescheites, bringt eure Wirtschaft wieder auf Vordermann, eure Landwirtschaft wieder auf Vordermann, damit die Leute etwas zu essen haben, damit sie nicht hungern, damit sie Geld verdienen ein bisschen, damit sie keine Idee haben, unbedingt nach Europa auswandern zu müssen wie auch immer. [73:41]	2
So if it comes to for example the situation in Italy, I know some cases when people came to Italy and their situation was legalized. For this reason, many other immigrants came to Italy. In this context, interesting is how to invest and help these countries. Money will always be missed. So from where shall we take money and in which projects should we invest?	pl	[1:06:14]So if it comes to for example the situation in Italy, I know some cases when people came to Italy and their situation was legalized. For this reason, many other immigrants came to Italy. In this context, interesting is how to invest and help these countries. Money will always be missed. So from where shall we take money and in which projects should we invest?[1:06:52]	2
"I speak French because my document is in French if you agree. We can - I think - pick up this point rather quickly because there are two arguments in the counter, here I quote: ""Civil liberties are hampered because of the intensification of border controls. ""No one - especially in France - will accept this and it has no influence on the largest group of illegal migrants, the people who stay after their visas expire, because I think this is the main group of people who come to our country and we must try to find another solution. So I propose that we go directly to the next point, if you agree."	fr	[00:00] Je parle français parce que mon document est en français si vous êtes d’accord. On peut – je crois – décrocher ce point assez rapidement parce qu’il y a deux argument dans le contre, là je cite : « Les libertés civiles sont entravées à cause de l’intensification des contrôles aux frontières. »  Personne – surtout en France – n’acceptera ça et cela n’a aucune influence sur le plus grand groupe des migrants illégaux, les personnes qui restent après l’expiration de leurs visas, parce je crois ça c’est le groupe principale des personnes qui viennent dans notre pays et il faut essayer de trouver une autre solution. Alors je propose qu’on passe directement au prochain point, si vous êtes d’accord. [00:47]	2
