cleaned_comment	orig_lang	speech	respect
As a Pole I need to negate. The argument which my colleague put forward that in Poland there is a large number of people who profess in Catholic faith. I raise here a religious issue and I can assure you, that there would be no problem with building a mosque. It would be accepted by Polish people as a society. Thank you.	pl	[12:53] As a Pole I need to negate. The argument which my colleague put forward that in Poland there is a large number of people who profess in Catholic faith. I raise here a religious issue and I can assure you, that there would be no problem with building a mosque. It would be accepted by Polish people as a society. Thank you.[13:28]	1
I would have a question for the Germans. Aren't the third generation immigrants already in Germany. And then are they still considered immigrants even though they have German citizenship and were born in Germany?	de	[50:52] ich hätte eine Frage an die Deutschen. Sind doch die Einwanderer der dritten Generation bereits in Deutschland. Und werden diese dann immer noch als Einwanderer betrachtet, obwohl sie deutsche Staatsangehörigkeit haben und in Deutschland geboren sind? [51:13]	1
I would like my Spanish comrades to explain something that I don't know and that is how it is possible that there is more aid for immigrants, illegal or not, than for Spanish people? I don't understand that.	fr	[01 :17] Moi j’aimerais bien qu’on m’expliquaient mes camarades espagnoles  quelque chose que je ne connais pas et c’est comment est-ce que c’est possible qu’il y a des aides plus importantes pour les immigrés, clandestins ou non, que pour les espagnoles ? J’ai du mal comprendre ça. [01 :34]	1
I would say that the people which are coming to the EU from the non-EU countries sometimes sell their entire wealth because they need money for the journey, which is very expensive. Afterwards, when they are coming back to their own countries, they have nothing. It is not that simple to just let them go back to their own countries and look for help in the country from which they fled.	pl	[03:47]I would say that the people which are coming to the EU from the non-EU countries sometimes sell their entire wealth because they need money for the journey, which is very expensive. Afterwards, when they are coming back to their own countries, they have nothing. It is not that simple to just let them go back to their own countries and look for help in the country from which they fled.[04:13]	2
In my opinion, even if we manage to get all the unemployed people in the union to work, we won't prevent other populations from wanting to live better. I think that these two problems are not linked.	fr	[25 :47] A mon sens, même si on arrive à faire travailler tous les chômeurs de l’union, on n’empêchera pas les autres populations d’avoir envie de vivre mieux. Je pense que ces deux problèmes ne sont pas liés. [26 :02]	1
Maybe I will give an example here. So everyone gets sentimental about these illegal immigrants. To Poland came in a certain period a whole bunch of Gypsies in order to gather on the streets. We had permanent whole pageants of beggars. So what we had to do, leave them at the mercy of fate, pat them, or what? So they were expelled to Romania. They came to Poland just for begging, so in such cases we must say no and be strict. Thank you.	pl	[1:01:44]Maybe I will give an example here. So everyone gets sentimental about these illegal immigrants. To Poland came in a certain period a whole bunch of Gypsies in order to gather on the streets. We had permanent whole pageants of beggars. So what we had to do, leave them at the mercy of fate, pat them, or what? So they were expelled to Romania. They came to Poland just for begging, so in such cases we must say no and be strict. Thank you.[1:02:25]	1
I would like to react to what Rudolf said. Rudolf, I think you're right, but it also means not to do selective immigration as we're talking about now, it's to pull the brains out of these countries. And I think that spending about 1 percent of the BIP on development aid would be cheaper than putting in place an expensive border protection policy. If we manage to [dig up?] the sources of illegal immigration, that would be better than deporting people.  [will noch einen zweiten Punkt aufführen, hat ihn aber vergessen]	fr	[24 :23] Je voudrais réagir à ce qui à dit Rudolf. Rudolf, je pense que vous avez raison mais cela suppose aussi de ne pas faire d’immigration choisie comme on parle maintenant, c’est de tirer les cerveaux de ces pays. Et je pense que de consacrer en effet un peu près 1 pourcent du BIP à l’aide au développement reviendrait moins cher que de mettre en place une politique de protection aux frontières qui nous gouterait chère. Si on arrive à [déterrer ?] les sources de l’immigration clandestine, surtout, ça sera déjà mieux que de reconduire à la frontière les gens. [25 :02]  [will noch einen zweiten Punkt aufführen, hat ihn aber vergessen]	1
But that's the illegal work area anyway, they shouldn't be working at all, they shouldn't be hired. They get almost nothing but they shouldn't be working for that anyway. When someone is hired in Spain, the rules are the same for all Spanish workers. Regardless of their nationality. As soon as they have a work permit, they automatically have an employment contract and then there are also collective bargaining regulations and Spanish regulations in that sense. So they have labor rights like any employed Spaniard. They have a wage, they have working conditions, just like any other worker if they have a legal employment contract. If foreigners have a normal labor contract, they don't get paid less.	de	[21:18] Aber das ist eh der illegale Arbeitsbereich, die sollten gar nicht arbeitstätig sein, sie sollten nicht eingestellt werden. Die kriegen zwar fast gar nichts aber sie sollten eh nicht dazu tätig sein. Wenn jemand in Spanien eingestellt wird, sind die Regeln gleich für alle spanischen Arbeitnehmer. Unabhängig von ihrer Nationalität. Sobald sie eine Arbeitserlaubnis haben, haben sie automatisch auch einen Arbeitsvertrag und dann gibt es auch tarifliche Regelungen und spanische Vorschriften in dem Sinne. Also haben sie Arbeitsrechte wie jeder erwerbstätige Spanier auch. Sie haben einen Lohn, sie haben Arbeitsbedingungen, genau wie alle anderen Arbeitnehmer auch, wenn sie einen gesetzlichen Arbeitsvertrag haben. Wenn Ausländer einen normalen Arbeitsvertrag haben, bekommen sie nicht weniger bezahlt. [22:06]	1
There is a Chinese saying that you should never give the fish to the person to eat. No, you have to give him the fishing rod and make him learn to fish. That's it. That's it. And then I think what we need to do is for those who want to come and want to have a better standard of living. They don't have the opportunity to do that in their own country. That's fine. That's why I told you earlier that in some countries there is so much wealth, in Africa, for example. And this wealth is not distributed. Often people abandon these countries because the wealth they have is not distributed to all. And so they have to think of other options. I think the main problem is this. Europe is getting older. That is a fact. But we must not let the young people die like that. They are the problem.	fr	[58 :23] Un dicton chinois qui dit, qu’on ne doit jamais donner le poisson à la personne pour qu’elle la mange. Non on la doit donner la canne à pêche et la faire apprendre à pêcher. Voilà. C’est bien cela. Et alors je pense ce que nous devons faire en ce qui concerne ceux qui veulent venir et veulent avoir un meilleur niveau de vie. Ils n’ont pas la possibilité de le faire dans leur propre pays. Très bien. C’est pour ça que tout à l’heure je vous ai dit que dans certains pays il y a tant de richesse, en Afrique, par exemple. Et cette richesse n’est pas distribuée. Souvent les gens abandonnent ces pays parce que la richesse qu’ils ont n’ait pas distribuée pour tous. Et donc ils doivent penser à d’autres options. Je pense que le principal problème, c’est celui-là. L’Europe devient plus vieille. C’est un fait. Mais donc il ne faut pas laisser mourir les jeunes comme ça. Ce sont ils, les problèmes. [59 :32]	2
Yes, that's quite right. But as we read in the document here, one of the main problems with illegal immigrants is that they start with a legal contract but then they enter the illegal sector. The legal contract expires and then they continue illegally, without a contract practically. So people who come to Europe mostly want to stay here for good, not just do a temporary contract and then leave. They want to enter the European system. They don't really want to fit into the culture, but they want to use the economic advantages and not really appear as Europeans. It is very difficult to send them away again, they are hard to find. Yes, I know that it is difficult there. But I also know that there are many immigrants, most of whom come as tourists. With a one-month visa and then they stay here as illegal immigrants. But these are then different phenomena in the individual regions, but there are also many, for example, who work in agriculture. Some of them have a temporary residence and work permit. But I am convinced that there are many immigrants who would then return to their countries if they had the chance to gain a foothold there again. There are many illegal immigrants, but they don't return to their countries, because if they did, they wouldn't be able to go back to Europe to work again for a while. I am convinced that if we could give them work and control them better, that they would return to their own countries and then they could come back for certain jobs. If they knew that they could come back next year to work here temporarily, then maybe that wouldn't be such a bad plan.	de	[41:46] Ja, das ist ganz richtig. Aber wie wir in dem Dokument hier gelesen haben, besteht eines der Hauptprobleme bei den illegalen Einwanderern darin, dass sie mit einem gesetzmässigen Vertrag anfangen und dann aber in den illegalen Sektor eintreten. Der legale Vertrag läuft aus und dann machen sie illegal weiter, ohne Vertrag praktisch. Also Leute die nach Europa kommen, wollen zumeist definitiv hier bleiben, nicht irgendwie nur ein Zeitvertrag ableisten und dann wieder weggehen. Sie wollen ins europäische System eintreten. Sie wollen nicht wirklich sich einfügen in die Kultur, aber die wirtschaftlichen Vorteile nutzen und nicht wirklich als Europäer auftreten dann. Das ist sehr schwer, sie dann wieder wegzuschicken, man findet sie kaum. Ja ich weiss, dass es schwierig ist da. Aber ich weiss auch, dass es viele Einwanderer gibt, von denen kommen sogar die meisten als Touristen. Mit einem Monatsvisum und dann bleiben sie hier als illegale Einwanderer. Aber das sind dann unterschiedliche Phänomene in den einzelnen Regionen aber es gibt auch viele zum Beispiel, die in der Landwirtschaft arbeiten. Die haben zum Teil dann eine zeitweilige Aufenthalts- und Arbeitserlaubnis. Aber ich bin davon überzeugt, dass es viele Einwanderer gibt, die dann in ihre Länder zurückkehren würden, wenn sie die Chance hätten, dort wieder Fuss zu fassen. Es gibt viele illegale Einwanderer, die aber nicht in ihre Länder zurückkehren, denn wenn sie das tun würden, könnten sie nicht wieder nach Europa zurück um dann wieder eine Zeitlang zu arbeiten. Ich bin davon überzeugt, dass wenn wir ihnen Arbeit geben könnten und die Kontrolle besser ausüben, dass sie zurückkehren ins eigene Land und dann doch wieder zurück kommen können für bestimmte Arbeitsverhältnisse. Wenn sie wüssten, dass sie nächstes Jahr wieder herkommen könnten um zeitweilig hier zu arbeiten, dann wäre das vielleicht gar nicht so schlecht als Plan. [43:54]	0
Yes, I have to - we have to be a little more precise [MOD: Si] on immigration [MOD: un poco], on immigration [MOD: aha]. Wait, now I have the word-	de	[14:18] Ja, ich muss – wir müssen ein bisschen Präziser werden [MOD: Si] bei Einwanderung [MOD: un poco], beim Thema Einwanderung [MOD: aha]. Moment, jetzt hab ich das Wort..[14:23]	1
Yes, I think the EU should act as one body, the efforts should be bundled, it should also be [so], not that the individual states give the money directly to the other countries but into a pot in the EU. This can then be distributed jointly. Now the effort will be - or will be in general - to go and close the borders, which will never be closed, but we must make increased efforts to do something EU-wide with those who come in despite hidden border controls. But from the development aid point of view, it should really be like this, in my opinion, everything in one pot, from this pot it is distributed, because where there is a lot of money, there is also a lot of power.	de	[70:53] Ja ich glaube, die EU sollte als ein Körper auftreten, es sollen die Bemühungen gebündelt werden, es soll auch letztendlich [so sein], nicht dass die Einzelstaaten das Geld direkt zu den anderen Ländern hingeben sondern in einen Topf in der EU. Das kann gemeinschaftlich dann verteilt werden. Jetzt wird ja auch die Bemühung dann sein – oder überhaupt sein – dass man hergeht und die Grenzen, die wird man nie dicht kriegen, aber man muss doch vermehrte Bemühungen machen, dass man also mit denen, die trotz einer versteckten Grenzkontrolle hereinkommen, dann auch EU-weit etwas macht. Aber von der Entwicklungshilfe her sollte es wirklich so sein, meiner Meinung nach, alles in einen Topf, aus diesem Topf wird es verteilt, denn dort wo viel Geld ist, ist auch viel Macht. [71:47]	1
Yes, I actually wanted to add that if these things should become reality, but also the population - I say - must be informed. It must also constantly the state of the visions that the EU has or which then go as a directive to the countries, so that this can also really be carried further, so that the people at the base understand below: What is actually to become of it? So that they can then support it and possibly be in favor of it, yes.	de	[1:04:42] Ja ich wollte eigentlich noch dazu sagen, dass es dann, wenn diese Dinge Wirklichkeit werden sollten, aber auch die Bevölkerung – sage ich mal – informiert werden muss. Sie muss auch immerzu den Stand der Visionen, die die EU hat oder die dann als Richtlinie an die Länder gehen, damit das auch wirklich weiter getragen werden kann, damit auch die Menschen an der Basis unten verstehen: Was soll eigentlich werden? Um dann das mitzutragen und mit dafür zu sein eventuell, ja. [1:05:25]	1
Yeah so, I think the problem is a very big problem. It is that - I think that in Africa in particular since we are talking about this - the effects of globalization which - globalization has become only an economic globalization and I think that political power has lost a lot of its importance because the countries, the African leaders, for the most part, are people who are bought, and they are bought by economic powers. So, it would be necessary - I think - for the European Union among others to regain a political power, a real political will to deal with politics with political elected officials and not economic elected officials since the human problem is not an economic problem.	fr	[34:28] Oui alors, je crois que le problème est un problème très important. C’est que – je crois qu’en Afrique en particulier puisqu’on parle de ça – les effets de la mondialisation qui – la mondialisation est devenu qu’une mondialisation économique et je crois que le pouvoir politique a perdu beaucoup de son importance parce que les pays, les dirigeants Africains, pour la plupart, sont des gens qui sont achetés, et ils sont achetés par des puissances économiques. Donc, il faudrait – je pense – que l’Union Européenne entre autres reprenne un pouvoir politique, une véritable volonté politique pour traiter la politique avec des élus politiques et non pas des élus économiques puisque le problème humaine n’est pas un problème économique. [35:32]	1
So, my address in Salzburg, I would like to give it to you, because for me, no problem. You can ring my doorbell, in my street. It's very cute, it's almost a bit kitschy and we have Italians, we have Spaniards, we have people from Kongo, we have several people from Nigeria and it's no problem for us. We are just normal people from Salzburg, not particularly nice or nasty. We are quite normal, ordinary people and we see this as an enrichment of our respective cultures, because we talk, we exchange and what bothers us is the [...] both for the Austrian and non-Austrian neighbors, we tell ourselves. We call it communication and this will certainly prevent, also problems in the future. And I am not at all afraid to ring the doorbell when I see an Islamic name. There are many Turks in Salzburg and I am not at all afraid of Turks, of Turkish citizens, and I think that creating these anxieties, these fears, is not at all correct, neither from the political point of view, nor from the human point of view. [01 :	fr	[1 :02 :00] Alors, mon adresse à Salzburg, je voudrais te la donner, parce que pour moi, pas de problème. On peut sonner à ma porte, dans ma rue. C’est très mignon, c’est presque un peu kitsch et nous avons des italiens, nous avons des espagnols, nous avons des personnes qui viennent du Kongo, nous avons plusieurs habitants de Nigeria et ce n’est pas d’problème pour nous. Nous sommes des habitants tout à fait normaux de Salzbourg, ne pas particulièrement gentils ou méchants. Nous sommes tout à fait normaux, banals et nous voyons en cela un enrichissement de nos cultures, respective, parce que nous parlons, nous échangeons et ce qui nous dérange, c’est la […] toute aussi bien pour les voisins autrichiens comme non-autrichiens, on se le dit. Nous appelons ça de la communication et cela va certainement prévenir, également des problèmes à l’avenir. Et je n’ai pas du tout peur de sonner à la sonnette lorsque je vois un nom islamique. Il y a beaucoup des Turques à Salzbourg et je n’ai pas du tout peur des Turques, des concitoyens Turques, et je pense que le fait de créer ces angoisses, ces craintes, ce n’est pas du tout correcte, ni du point de vue politique, ni du point de vue humain. [01 :03 :12]	2
Yeah well, but what you're asking yourself, these are people who fled their country and what happens afterwards? Suddenly you don't need them anymore. You think, yes, now everything is going wonderfully in Iraq again, but it's not true. Then suddenly they are considered illegal immigrants and we have a problem.	de	[38:15] Ja also, aber was man sich da fragt, das sind Leute, die aus ihrem Land geflüchtet sind und was passiert danach? Da braucht man sie plötzlich nicht mehr. Da meint man, ja jetzt läuft ja alles wieder wunderbar im Irak, stimmt aber nicht. Dann werden sie plötzlich als illegale Einwanderer betrachtet und da haben wir ein Problem. [38:41]	1
I think it's good that you bring the American example. We know, North America, own continent with two borders. They build a wall to the south, to Mexico with thousands of deaths. To the north, there is Canada, they don't need one. The Federal Republic of Germany is surrounded, is surrounded by friends, by EU members. There are highways. And in Germany you can drive without speed limit. And there you drive namely - from Austria, from Belgium, from Switzerland, even in the meantime - you drive smoothly through. I drive from Germany, Bavaria to Austria with 120 or 150 if I want to. Do we want to build borders again? The problem cannot be solved in this way. With border controls, dear Mario, is in Europe - we have 27 dwarf states in comparison, does not work at all; we would have a rat tail of costs, we would have walls, it is already enough the wall around the Palestinians, we can not do, first. Secondly, I have to emphasize again because we are in the EU, we are no longer talking about Spanish, Portuguese workers, because these are not immigrants, but these are EU citizens, that you finally keep it apart.	de	[26:30] Ich finde es gut, dass du das amerikanische Beispiel bringst. Wir wissen, Nordamerika, eigener Kontinent mit zwei Grenzen. Sie bauen eine Mauer nach Süden, nach Mexiko mit tausenden von Toten. Nach Norden, da ist Kanada, brauchen sie keine. Die Bundesrepublik Deutschland ist umgeben, ist umzingelt von Freunden, von EU-Mitgliedern. Da sind Autobahnen. Und in Deutschland darf man ohne Geschwindigkeitsbegrenzung fahren. Und da fährt man nämlich – von Österreich, von Belgien, von Schweiz, sogar inzwischen – fährt man glatt durch. Ich fahre von Deutschland, Bayern nach Österreich mit 120 oder 150 wenn ich will. Wollen wir da wieder Grenzen bauen? Das Problem ist so nicht zu lösen. Mit Grenzkontrollen, lieber Mario, ist in Europa – wir haben 27 Zwergstaaten im Vergleich, geht gar nicht; wir hätten einen Rattenschwanz von Kosten, wir hätten Mauern, es reicht schon die Mauer um die Palästinenser rum, können wir nicht machen, erstens. Zweiten muss ich nochmals betonen weil wir in der EU sind, wir reden nicht mehr von spanischen, portugiesischen Arbeitnehmern, weil das sind keine Einwanderer, sondern das sind EU- Mitbürger, dass man das endlich mal auseinander halten. [27:47]	1
