cleaned_comment	orig_lang	speech	interactivity	respect	storytelling	justification	cGood
Can one treat it as an article or good? I do not know. I think that each country has a right to their own growth and development, and the European example cannot be imposed on any other country, as it has a right to its own growth and rhythm. In my opinion building a democracy requires much patience and time.	pl	[49:43] Can one treat it as an article or good? I do not know. I think that each country has a right to their own growth and development, and the European example cannot be imposed on any other country, as it has a right to its own growth and rhythm. In my opinion building a democracy requires much patience and time.  [50:11]	2	1.0	0.0	3	0
I agree with Sasha, not because of the immigrants the criminality increased, especially in the charge positions. Today, we have an economic crisis and the situation is more difficult. However, we have problems with gypsies.	pl	[1:35:32]I agree with Sasha, not because of the immigrants the criminality increased, especially in the charge positions. Today, we have an economic crisis and the situation is more difficult. However, we have problems with gypsies. [1:35:57]	3	2.0	0.0	1	0
I think we shouldn't talk now about whether or not the EU as a whole needs more rights now, or whether we conclude a relatively undemocratic Lisbon Treaty, or whatever, but we should focus on the issue of migration first.	de	[1:40:43] Ich denke, wir sollten jetzt nicht darüber reden, ob die EU jetzt insgesamt mehr Rechte braucht oder nicht, oder ob wir einen relativ undemokratischen Vertrag von Lissabon abschliessen, oder wie auch immer, sondern wir sollten uns erst mal auf das Thema Migration konzentrieren. [1:14:13]	2	1.0	0.0	0	0
I think it is frightening that immigration is measured by a criterion such as education or professional qualification. There should be a principle. So we have, for example, in the documentation the points system when there is a need in a certain sector for skilled labor. So maybe we will let them in, but as a matter of principle, we don't give this opportunity to people who don't have qualifications. I find this a bit difficult because it would mean that we would simply be ranking immigrants. And one has the impression that disadvantaged people who live badly in their country of origin are not wanted in our country either.	fr	[45 :39] Je pense qu’il est effrayant que l’immigration soit mesurée par rapport à un critère tel que formation scolaire ou qualification professionnelle. Il faut plutôt y avoir un principe. Donc nous avons par exemple dans la documentation le système de points lorsqu’on a besoin dans un certain secteur de la main-d’œuvre qualifié. Alors peut-être on va les laisser entrer, mais par principe, on leurs donne pas cette opportunité à les personnes qui n’ont pas de qualification. Je trouve que c’est un peu difficile car cela signifierait qu’on hiérarchise tout simplement les immigrés. Et on a l’impression que des personnes défavorisées qui vivent mal dans leur pays d’origine ne sont non plus désirées dans notre pays. [46 :41]	0	1.0	0.0	2	0
I would like to remind you that I myself am a product of that time. In Germany, there was already a time when millions of non-Germans - not all of them were Germans, but they were officially Germans - were forced to leave their homeland. The community, in which I grew up, grew by 70 percent from one day to the next. With a little bit of good will, immigration today as then is possible, but you have to want it.	fr	[46 :45] Je voudrais rappeler que moi-même, je suis un produit de cette époque. En Allemagne, il y avait déjà eu une époque ou il y avait une expatriation forcée de millions de non-allemands – ce n’étaient pas tous des allemands, c’étaient officiellement des allemands, bon –  mes parents aussi, ont du quitter leur patrie. La commune, dans laquelle j’ai grandi, d’un jour à l’autre, a grandi de 70 pourcent. Avec un peu de bonne volonté, l’immigration aujourd’hui comme à l’époque est tout-à-fait possible, mais il faut le vouloir. [47 :23]	0	1.0	1.0	1	0
The creation of ghettos and the fact that immigrants don't adapt and well, if you say adapt, that's hard obviously. The problem is the German language which is not taken over, which is not learned. That is to say that in the school in reality, during the course, they speak German but during the recreation for example they already speak their language between them and therefore if the direction for example tries to make them speak German outside the school, outside the class, the direction does not succeed. So we have people - second, third generation - who don't know how to read, write and so on, so they need their children to translate what they have to do and so on, so let's avoid creating ghettos, but then we have to learn how to read and write at that time. We'll have less of this problem of creating ghettos, we'll have less problems and they're next to us and we don't even know what they're talking about and it's being used.	fr	[58:26] La création des ghettos et le faite que les immigrés ne s’adaptent pas et bon, si on dit adapter, c’est dure évidemment. Le problème c’est la langue allemande qui n’est pas repris, qui n’est pas appris. C'est-à-dire que dans l’école en réalité, pendant le cours, ils parlent allemand mais pendent la récré par exemple ils parlent déjà leur langue entre eux et donc si la direction par exemple essaye de leurs faire parler l’allemand en dehors de l’école, en dehors de la classe, la direction n’y arrive pas. Donc on a des personnes – deuxième, troisième génération – qui ne savent pas lire, écrire et cetera donc ils ont besoin de leurs enfants pour traduire ce qu’ils doivent faire et cetera donc évitons de créer les ghettos mais alors il faut apprendre à lire et écrire à ce moment-là. On aura moins ce problème de création des ghettos, on aura moins de problèmes et ils sont à côté de nous et on ne sait même pas de ce qu’ils parlent et ça s’utilise. [59:34]	0	0.0	0.0	2	0
I think we will also find intersections between the issue tomorrow and today. Because the topic of climate change; and this is based a little bit on what Manuel said; eliminating climate change and also creating conditions everywhere equally, also means investing in education, in economy, both in our country and in our neighboring countries outside the EU. So that probably tomorrow we will discover points of intersection, possibly even find solutions for both problems. Is just a hope.	de	[44:40] Ich denke, wir werden auch Schnittpunkte zwischen dem Thema morgen und heute finden. Weil das Thema Klimawandel; und das begründet sich so ein bisschen auf die Aussagen von Manuel; Beseitigung des Klimawandels und auch Voraussetzungen überall gleich zu schaffen, bedeutet ja auch Investition in Bildung, in Wirtschaft, sowohl bei uns als auch in unseren Nachbarländern ausserhalb der EU. So dass wir wahrscheinlich morgen noch Schnittpunkte entdecken werden, womöglich sogar Lösungsansätze für beide Probleme finden. Ist nur eine Hoffnung. [45:17]	2	1.0	0.0	2	0
I would just like to add to that statement which is true that it is a return term. We deport them, they come back and if we don't introduce biometric identity cards or all the new things that are being proposed to us, it will indeed be a turn off that makes them come back but I repeat, I always repeat the same thing, that all this is linked to the real immigration policy. The real policy is that we apply what we do and so we don't do it, then our discussion will go in circles.	fr	[22:31] Je voudrais seulement ajouter à cette constatation qui est vraie que c’est un terme retour. On expulse, ils reviennent et si on n’introduit pas des cartes d’identité biométriques ou toutes les nouveautés qu’on nous propose, ça effectivement ça sera tourniquer qui fais qu’on revient mais je répète, je le répète toujours la même chose, que tout ça c’est lié à la vraie politique d’immigration. La vraie politique c’est qu’on applique ce qu’on fait et donc on ne le fait pas, alors là, notre discussion va tourner en rond. [23:14]	2	1.0	0.0	1	0
I wanted to say something about the legal immigrants. I was listening to this this afternoon. We want to stick to principles, we are talking about foreigners. Certainly there should be some control, but there should also be quotas in terms of different countries. That's [the] view of Denmark in that respect, I should say.	de	[25:34] Ich wollte was zu den legalen Einwanderern sagen. Ich habe da zugehört halt heute Nachmittag halt. Wir wollen uns an Prinzipien halten, wir sprechen von Ausländern. Sicherlich sollte es eine bestimmte Kontrolle geben, es sollte aber auch Quoten geben hinsichtlich der verschiedenen Länder. Das ist [die] Ansichtsweise Dänemarks in der Hinsicht, sollte ich mal sagen. [26:28]	0	1.0	0.0	0	0
That's true, because here in Germany there are now very many different nationalities living here, but it was also determined by the EU in some study that the Turks have actually been integrated the least and wanted to integrate the least. So they wanted to create their own ghettos and just came here to earn money; that was the only priority that they set - in my opinion.	de	[49:16] Also das stimmt, weil nämlich bei uns hier in Deutschland nun einmal jetzt sehr sehr viele verschiedene Nationalitäten leben aber es ist ja auch von der EU einmal in irgend einer Studie festgestellt worden, dass eigentlich die Türken am wenigsten integriert worden sind und am wenigsten sich integrieren wollten. Also die wollten schon so ihre eigenen Ghettos schaffen und sind halt einfach nur hierher gekommen, um Geld zu verdienen; das war die einzige Priorität, die die gesetzt haben – meiner Meinung nach. [49:45]	3	0.0	1.0	0	0
I have one more suggestion, I come from Poland and I have noticed that in my country a greater development has been achieved, by investments of foreign investors, like for example near Wroclaw, a factory of LCD monitors had been opened. And I believe that this is a right direction to support the economies of other countries, to open there factories because it is obvious that in poorer countries the labour force is cheaper, right? Those countries produce goods with lower costs. And maybe some of you may have any other ideas to support the economies, and not only by opening factories in those countries? Thank you.	pl	[05:47] I have one more suggestion, I come from Poland and I have noticed that in my country a greater development has been achieved, by investments of foreign investors, like for example near Wroclaw, a factory of LCD monitors had been opened. And I believe that this is a right direction to support the economies of other countries, to open there factories because it is obvious that in poorer countries the labour force is cheaper, right? Those countries produce goods with lower costs. And maybe some of you may have any other ideas to support the economies, and not only by opening factories in those countries? Thank you.   [06:47]	0	1.0	1.0	2	1
The question is, in which time all this can be thought about, can be implemented, if there is a shortage of skilled workers. Normally, the positions have to be filled as quickly as possible, and this whole process - I think - will take far too long, if this is also determined at the EU level for the countries as a whole.	de	[06:30] Die Frage stellt sich doch, in welcher Zeit das alles angedacht werden kann, umgesetzt werden kann, wenn ein Fachkräftemangel da ist. Normalerweise müssen doch dann die Stellen so schnell wie möglich besetzt werden und dieser ganze Vorlauf – denke ich – wird viel zu lange dauern, wenn das auch noch auf EU-Ebene dann erst einmal für die Länder insgesamt dann eruiert wird. [06:54]	2	1.0	0.0	1	0
As far as I know, the crooked banana and the cucumber have been solved Europe-wide. Maybe the other one will become Europe-wide as well. The curvature of the banana...	de	[48:29] Soweit ich weiss, hat man ja die krumme Banane und die Gurke auch europaweit hingekriegt. Vielleicht wird das andere auch mal europaweit. Die Krümmung der Banane… [48:40]	2	1.0	0.0	1	0
"So, we asked different questions. Patricia [PA] said, ""mutual respect is very very important. ""I think so. But at the end of the day, what do we want? Do we want these immigrants who went to France to become 100 percent French or the other way around? 54 percent of the Turkish people still have to learn more about language and I would like to know, for all the supporters, how it worked from the beginning of these waves of immigration. It is also said that the native population has a certain culture, which could be disturbed by this immigration or even foreign invasion. I find this a bit strong. And culture, language, history - it would be nice to be able to talk about all these things. So, if we already speak the same language to begin with, I am already very happy when I hear our national songs sung, whether in Norwegian or in French. And all this is destroyed. It's completely destroyed when you have made a good bouillabaisse and a pot of mix. Thank you."	fr	[13:47] Donc, on a posé différents questions. Patricia[PA] a dit :  « le respect mutuel c’est très très important. » Je crois aussi. Mais en fin de compte, que voulons-nous ? Est-ce que ces immigrés qui sont allés en France, est-ce qu’on veut d’en faire des français à 100 pourcent ou l’invers, n’est-ce pas ?  54 pourcents des turques doivent encore en apprendre plus sur le plan linguistique déjà et j’aimerais bien une fois savoir, pour tous les partisans, comment-on-a fonctionné du début de ces vagues d’immigration. On dit aussi que la population autochtone détient une certaine culture, qui de part de cette immigration ou même invasion étrangère, pourrait être déranger. Je trouve ça un peu fort. Et la culture, la langue, l’histoire – ça serait bien de pouvoir s’entretenir sur tous ces sujets. Donc, si nous parlons déjà la même langue pour commencer, je suis déjà très heureux quand j’entends chanter nos chansons nationales, que se soi en norvégien ou en français. Et tous cela, il est détruit. C’est complètement détruit lorsqu’on a fait une bonne bouillabaisse et un pot mélange. Merci. [15 :10]	3	1.0	1.0	1	1
In Belgium, so to speak, the situation is differentiated. The number of illegal immigrants who work is relatively big. They work illegally, because they live illegally and those people are often taken advantage of. These are people who live in centres for asylum-seekers and have problems with finding a decent work to earn a livelihood. There are also many of those who have started the asylum procedure and do not live in asylum-seekers centres, so they work on the market, but very often they work with no permit, this is the situation in Belgium.	pl	[00:59] In Belgium, so to speak, the situation is differentiated. The number of illegal immigrants who work is relatively big. They work illegally, because they live illegally and those people are often taken advantage of. These are people who live in centres for asylum-seekers and have problems with finding a decent work to earn a livelihood. There are also many of those who have started the asylum procedure and do not live in asylum-seekers centres, so they work on the market, but very often they work with no permit, this is the situation in Belgium. [01:45]	2	1.0	1.0	0	0
I think the solution to this immigration is going to be through Europe, or it's not going to work. It will work through Europe, or it won't work at all. So we have now eliminated the borders because of the Maastricht Treaty, and if one country allows foreign citizens in, and in excess, then all countries accept that, there are no borders anymore. And we are all together. And for the good of all, so at the moment we are in an economic crisis, and that is then always the immigrants, they are then most affected by it. And they always say then that's the fault of the immigrants. And so the crisis seems to be long and difficult. And given this situation especially as we have it now in Spain, so that's really a financial debacle at the moment with us in Spain and so there is a sharp increase in unemployment and personally I'm afraid that in a few years... because today we still have unemployment, but there is still social and financial aid and if all the people who are now in unemployment, if they no longer get social subsidies, then it's first of all the immigrants who will then suffer the most. And not enough thought is given to them, so we have to take measures in the European framework and also take measures uniformly. And one of the big problems of the EU at this point in time is that we really have to adopt and adopt some uniform guidelines. And of course that's difficult to achieve that unanimity because countries are just different because of their culture and so. And they don't want some issues to be dealt with jointly with the European without... and then feel that you are interfering. Yes, how many are we here now? Are we 17, 18 people? 17 people. And we all have our opinions, we all often have different opinions. Now imagine how difficult it is for 27 representatives from different countries to come to a unified or unanimous result. So representing more than 400 million inhabitants, 500 million even fellow citizens. It is incredibly difficult to reach agreement and consensus. Above all, to reach unanimity. It's almost impossible. Yes, and for the problems that affect all countries in the same way, and if, for example, one country makes a decision, that then affects all the others as well. But then the decisions have to be made by the EU, not by the individual country. Because if you belong to such an organization, we have the advantages, but we also have to transfer part of our sovereignty to the EU and then Europe must really take hold. We have to be less Spanish, less German, and more European, at least in such important areas. At least on such important issues.	de	[1:35:10] ich glaube, dass die Lösung für diese Einwanderung über Europa geht, oder sie klappt nicht. Sie wird über Europa funktionieren, oder gar nicht. Wir haben also jetzt die Grenzen beseitigt aufgrund des Maastrichter Vertrages, und wenn ein Land ausländische Bürger zulässt, und zwar in übermässigem Masse, dann akzeptieren das alle Länder, es gibt ja keine Grenzen mehr. Und wir sind alle zusammen. Und zum Wohle von allen, also im Moment sind wir in einer wirtschaftlichen Krise, und das sind dann immer die Einwanderer, die sind dann am meisten davon betroffen. Und man sagt dann immer, das ist der Fehler der Einwanderer. Und die Krise scheint also lange und schwierig zu werden. Und angesichts dieser Situation ganz besonders wie wir sie jetzt in Spanien haben, also das ist wirklich ein finanzielles Debakel im Moment bei uns in Spanien und es gibt also eine heftige Zunahme der Arbeitslosigkeit und persönlich habe ich Angst, dass in einigen Jahren… da wir heute immer noch die Arbeitslosigkeit haben, es gibt aber trotzdem soziale und finanzielle Hilfe und wenn all die Leute, die jetzt in der Arbeitslosigkeit sind, wenn die keine Sozialsubventionen mehr bekommen, dann sind es als erstes die Einwanderer, die dann am meisten leiden werden. Und nicht genügend bedacht werden also wir müssen im europäischen Rahmen deswegen Massnahmen ergreifen und auch einheitlich Massnahmen ergreifen. Und eines der grossen Probleme der EU zum gegenwärtigen Zeitpunkt ist, dass wir wirklich einige einheitliche  Richtlinien verabschieden müssen und annehmen müssen. Und das ist natürlich  schwierig, diese Einstimmigkeit zu erreichen, weil die Länder durch ihre Kultur und so eben unterschiedlich sind. Und sie möchten nicht, dass einige Themen gemeinsam behandelt werden mit der europäischen ohne… und haben dann das Gefühl, dass man sich einmischt. Ja, wie viele sind wir jetzt hier? Sind wir 17, 18 Personen? 17 Personen. Und wir haben alle unsere Meinung, wir haben alle oft unterschiedliche Meinungen. Jetzt stellen sie sich mal vor, wie schwierig das ist für 27 Vertreter unterschiedlicher Länder zu einem einheitlichen oder einstimmigen Ergebnis zu kommen. Also die mehr als 400 Millionen Einwohner vertreten, 500 Millionen sogar Mitbürger vertreten. Das ist wahnsinnig schwierig, dass man sich da einigt und zu einem Konsens kommt. Vor allem auch zu einer Einstimmigkeit kommt. Das ist fast unmöglich. Ja und für die Probleme, die alle Länder auf gleiche Art betreffen, und wenn zum Beispiel ein Land eine Entscheidung fällt, dass das dann alle anderen auch betrifft. Dann müssen aber die Entscheidungen von der EU getroffen werden, nicht mehr beim Einzelland. Denn wenn man so einer Organisation angehört, haben wir die Vorteile, aber wir müssen auch ein Teil unserer Souveränität übertragen an die EU und dann muss eben Europa wirklich mal greifen. Und muss eben auch den Vorrang haben .wir müssen also weniger spanisch dann sein, weniger deutsch, sondern europäisch. Zumindest bei so wichtigen Themenbereichen. [1:39:11]	3	2.0	0.0	3	2
"I don't understand very well because I have the impression that we are going in circles, because you [CLC?] say, ""one community to another"", but we are a community, we are not communities. The culture is a thing in a rhythm of life. What differentiates the beings, it is the rooting? of a place, in the fact if it is born in a place or in another and of this fact there it must be attached to a culture that differs. Are rites, but they are only rites. I believe that we are a community, not ten. I'm talking about the community of humans. Ergänzender Satz zu statement: unverständlich] There is one thing that worries me, we always talk about fear. In fact, everything I hear about immigration, I have the impression that it scares everyone. That we are different is rather a small happiness, isn't it? When we're all the same in the world, how hard can it be? And like, I thought about the market? the politics that wants us all to be the same, the consumption, [that wants] us all to be the same. So I think that immigration is maybe the way to escape this principle. That's it, that's all."	fr	[12 :23] Je ne comprends pas très bien parce que j’ai l’impression qu’on tourne en rond, parce que, vous[CLC ?] dites, « une communauté à l’autre », mais on est une communauté, on n’est pas des communautés. La culture c’est une chose dans un rythme de vie. Ce qui différencie les êtres, c’est l’enracinement[ ?] d’un lieu, dans le fait s’il soit né dans un lieu ou dans un autre et du ce fait là il doit être attaché à une culture qui diffère. Sont des rites, mais ce sont que des rites. Je crois qu’on est une communauté pas dix. Moi, je parle de la communauté des humains. [Ergänzender Satz zu statement : unverständlich] Il y a une chose qui m’inquiète, on parle toujours de peur. En fait, tous ce que j’entends par rapport à l’immigration, j’ai l’impression que ça fait peur à tout le monde. Qu’on est différent c’est plutôt un petit bonheur, non ? Quant on est tous pareil au monde, qu’est-ce que ça va être pénible, non ? Et comme, j’ai pensé au marché[ ?], à la politique qui veut qu’on soit tous identique, la consommation, [qui veut] qu’on soit tous identique. Donc je crois que l’immigration est peut-être le moyen d’échapper à ce principe. Voilà, c’est tout. [13 :32]	2	1.0		2	2
