cleaned_comment	orig_lang	speech	storytelling
"I don't understand very well because I have the impression that we are going in circles, because you [CLC?] say, ""one community to another"", but we are a community, we are not communities. The culture is a thing in a rhythm of life. What differentiates the beings, it is the rooting? of a place, in the fact if it is born in a place or in another and of this fact there it must be attached to a culture that differs. Are rites, but they are only rites. I believe that we are a community, not ten. I'm talking about the community of humans. Ergänzender Satz zu statement: unverständlich] There is one thing that worries me, we always talk about fear. In fact, everything I hear about immigration, I have the impression that it scares everyone. That we are different is rather a small happiness, isn't it? When we're all the same in the world, how hard can it be? And like, I thought about the market? the politics that wants us all to be the same, the consumption, [that wants] us all to be the same. So I think that immigration is maybe the way to escape this principle. That's it, that's all."	fr	[12 :23] Je ne comprends pas très bien parce que j’ai l’impression qu’on tourne en rond, parce que, vous[CLC ?] dites, « une communauté à l’autre », mais on est une communauté, on n’est pas des communautés. La culture c’est une chose dans un rythme de vie. Ce qui différencie les êtres, c’est l’enracinement[ ?] d’un lieu, dans le fait s’il soit né dans un lieu ou dans un autre et du ce fait là il doit être attaché à une culture qui diffère. Sont des rites, mais ce sont que des rites. Je crois qu’on est une communauté pas dix. Moi, je parle de la communauté des humains. [Ergänzender Satz zu statement : unverständlich] Il y a une chose qui m’inquiète, on parle toujours de peur. En fait, tous ce que j’entends par rapport à l’immigration, j’ai l’impression que ça fait peur à tout le monde. Qu’on est différent c’est plutôt un petit bonheur, non ? Quant on est tous pareil au monde, qu’est-ce que ça va être pénible, non ? Et comme, j’ai pensé au marché[ ?], à la politique qui veut qu’on soit tous identique, la consommation, [qui veut] qu’on soit tous identique. Donc je crois que l’immigration est peut-être le moyen d’échapper à ce principe. Voilà, c’est tout. [13 :32]	0.0
Yes, but we are talking about immigration at the European level. And not at the level of each member state. [1 :	fr	[1 :37 :05] Oui mais on parle de l’immigration au niveau européen. Et pas au niveau de chaque état membre. [1 :37 :11]	0.0
You could also do it with partnerships. That each country has its own partnership with another country.	de	[69:06] Man könnte es ja auch mit Partnerschaften machen. Das jedes Land seine eigene Partnerschaft hat mit einem anderen Land. [69:16]	0.0
I wanted to come back to what Brigitte said to say that, yes, indeed, humans must be taken for what they are in the positive sense of the term. This, when Brigitte talks about Kleenex, it is already far from excusing all, but it is already what is done, when we relocate a company elsewhere. So, I'm not necessarily trying to link it to immigration.	fr	[02 :49] Moi je voulais justement revenir à ce qui a dit Brigitte pour dire que, oui, effectivement, les humains il faut les prendre pour ce qu’ils sont à la valeur positive du terme. Ceci, quand Brigitte parle des kleenex, c’est d’ores et déjà qui est loin d’excuser tous, mais c’est d’ores et déjà  de ce qui est fait, quand chez nous, on délocalise une entreprise ailleurs. Donc, je n’essaye pas forcément lié à l’immigration. [03 :15]	0.0
I think, according to the last question, that when Polish people have a chance to go abroad they are taking this chance and going. They are having the same jobs which they could have in Poland but for better money. Then, of course somebody has to take these jobs in their country. That’s the reason why the immigrants are coming. They are taking the jobs which nobody else in Poland wants to take. Thank you.	pl	[1:21:45]I think, according to the last question, that when Polish people have a chance to go abroad they are taking this chance and going. They are having the same jobs which they could have in Poland but for better money. Then, of course somebody has to take these jobs in their country. That’s the reason why the immigrants are coming. They are taking the jobs which nobody else in Poland wants to take. Thank you.[1:22:06]	0.0
What Marije said is true. But I think that it will also be necessary to make a part at the level of the member states. I think that it is a mixture of the two that is necessary and that will remain necessary. Because to say that it is totally at the level of Europe that we settle this, I think at this moment the member countries will not collaborate. However, in politics this is often the case. Pretending is good. I think that Europe can provide for certain laws, but the member countries must also be able to do something about it in the country itself, otherwise in the end they have nothing to say at the time of the elections etc. For Africa, I can understand, that this must be regulated at European level. But how do you do it in Europe, even with the member states? There is a large part of borders that are open and they arrive in masses from there. And for example for the Polish population that lives in the Netherlands, and the economy suddenly goes well and now they are all still in the Netherlands. In spite of all. And the Netherlands have to pay them for the blows that this causes. How will this problem be solved?	fr	[50 :12] Ce que Marije a dit, est vrai. Mais je pense qu’il faudra aussi faire une partie au niveau des états membres. Je pense que c'est un mélange des deux qui est nécessaire et qui restera nécessaire. Car dire totalement que c’est au niveau de l’Europe qu’on règle ça, je pense à ce moment là les pays membres ne collaboreront pas. Cependant, en politique c’est souvent le cas. Le faire semblant fait bon. Je pense que l’Europe peut prévoir certaines lois mais les pays membres doivent aussi pouvoir y faire quelque chose dans le pays même, sinon finalement ils n’ont plus rien à dire au moment des élections etc. pour l’Afrique, je peux comprendre, que ce doit être règle au niveau européen. Mais comment fait-on en Europe même avec les pays membres alors? il y a une grande parti de frontières que sont ouvertes et ils arrivent en masses par de cela des frontières. Et par exemple pour la population polonaise qui vit au Pays-Bas, et l’économie tout à coup va bien et maintenant ils sont quand même tous encore aux Pays-Bas. Malgré tous. Et les Pays-Bas doivent quand même alors leur payer pour les coups que cela enjoindre. Comment va résoudre ce genre ce problème? [51 :41]	0.0
Many of the projects of well-established associations do not consist of sending milk or whatever there. But there are a lot of associations that are doing training projects or establishing networks there - I'll continue in German, it's easier - so it's about sustainability I think. So it's not a matter of giving them everything in subsidies. What is important in all these kind of projects is that people can give up themselves - and that the values, the quality of life and their knowledge, their knowledge can be improved.	fr	[26 :08] Beaucoup des projets des associations bien établies ne consistent pas d’envoyer du lait ou de je ne sais pas quoi là bas. Mais il y a beaucoup des associations qui font des projets de formation ou qui établissent des réseaux là-bas – je vais continuer en Allemand, c’est plus facile – donc il s’agit de durabilité je crois. Donc il ne s’agit pas donc de leurs donner tout en subventions. Ce qui est important dans tout ce genre de projets, c’est que les gens puissent céder eux-mêmes - et que les valeurs, la qualité de la vie et leur connaissance, leur savoir puissent être amélioré. [27 :02]	0.0
It's true that I think that there is something. There is a real legislation on immigration. But it's not. For me it's just an idea, I can't say that categorically. [1 :	fr	[1 :18 :11] C’est vrai que moi, je pense qu’il y a quelque chose. Il y a une législation vraiment sur l’immigration. Mais bon. Pour moi c’est simplement une idée je ne peux pas affirmer de ça catégoriquement. [1 :18 :24]	0.0
So what we could perhaps do is launch an appeal to the European Parliament so that they start to really develop a policy in this area. Because we have noticed that in practice there is no policy and so we need to create a common platform and so this should really be one of the main priorities because now they are all talking but nobody really dares to intervene. So it has to be a really big priority and maybe one day a solution will be found and then for me also this situation in the document, so a big priority is that the different countries can also increase the fines given to the employers who don't have illegals, so stricter fines, this would be the solution. So obviously now there's a lot of people who are paid half or a quarter of what they should be, there's no social contributions that are paid and so on so the state should intervene more rigorously so that it's really strongly limited.	fr	[47:23] Donc ce qu’on pourrait peut-être faire c’est lancer un appel par rapport aux Parlement Européen pour qu’ils commencent à vraiment développer une politique dans ce domaine-là. Parce qu’on a constaté que dans la pratique il n’y a pas de politique et donc il faut créer une plateforme commune et donc ce soit vraiment une des grandes priorités parce que maintenant ils parlent tous mais personne n’ose vraiment intervenir. Donc il faut que ce soit vraiment une grande priorité et peut-être qu’un jour à ce moment-là une solution sera trouvé et puis pour moi aussi cette situation dans le document, donc une grande priorité consiste à ce que les différents pays puissent aussi augmenter les amendes données aux employeurs qui n’ont pas des illégaux, donc des amendes plus strictes, ce serait la solution. Donc évidemment maintenant il y a beaucoup de gens qui sont payés la moitié ou un quart de ce qu’il faudrait, il n’y a pas de cotisations sociales qui sont payées et cetera donc l’état devrait intervenir plus rigoureusement pour que ce soit vraiment fortement limité. [48:47]	0.0
In the case of illegal immigrants we need to build conditions for legal arrival. When they will come to our country, they would have to obey the law while maintaining their identity and religion. I would like to add something. Not every illegal immigrant should stay in a certain country. Maybe we could allow him to stay and work there a few years and then help him to go back to his country. However, for sure we need to create the conditions in order to familiarize them with our culture.	pl	[34:01]In the case of illegal immigrants we need to build conditions for legal arrival. When they will come to our country, they would have to obey the law while maintaining their identity and religion. I would like to add something. Not every illegal immigrant should stay in a certain country. Maybe we could allow him to stay and work there a few years and then help him to go back to his country. However, for sure we need to create the conditions in order to familiarize them with our culture.[34:58]	0.0
Yes, I am of the opinion that the task of the EU is not necessarily to close the countries and the borders, because we have to see everything a bit more globally, we are one world and the world consists of many other countries and we have to make sure that the rest of the population and the other people are well off in some way, which we have exploited over all these years. We have an obligation; humanity is a very important principle and I am simply of the opinion that we cannot close ourselves off and simply cook our own soup - how else are we going to deal with climate change and everything else that is coming our way if we only want to deal with it nationally? We can't keep ourselves alive at all.	de	[24:16] Ja ich bin also der Meinung, dass die Aufgabe der EU das eigentlich nicht unbedingt ist, die Länder und die Grenzen dicht zu machen, weil wir müssen das alles ja doch auch ein bisschen globaler sehen, wir sind doch nun einmal eine Welt und die Welt besteht doch nun einmal aus vielen anderen Ländern und wir müssen doch dann auch dafür sorgen, dass es der restlichen Bevölkerung und den anderen Menschen in irgend einer Form gut geht, die wir über all die Jahre ausgebeutet haben. Wir haben doch eine Verpflichtung; also Menschlichkeit ist doch ein ganz oberes Prinzip und ich bin einfach der Meinung, wir können uns nicht abschotten und können einfach unser Süppchen alleine kochen – wie wollen wir denn das sonst mit Klimawandel und mit all dem anderen, das auf uns zukommt dann regeln, wenn wir es nur national regeln wollen? Da können wir uns ja überhaupt nicht am Leben erhalten. [25:04]	0.0
Should one punish people who e.g. refurbish individuals’ houses in Holland? I am just asking myself a question whether those in Holland, who employ Polish workers to refurbish their houses, should be punished too? Well, I do not know. I think the same situation is in Belgium, where Poles come to refurbish the apartments. Of course, if there is an occasion to choose a cheaper service, everyone thinks about their own wallets. So I do not agree that illegal immigrants are working for businesses, unless these are big companies – here penalties are necessary, but not when it comes to such a small case. I think that each one of us did something like that, so we had not always acted legally.	pl	[39:39] Should one punish people who e.g. refurbish individuals’ houses in Holland? I am just asking myself a question whether those in Holland, who employ Polish workers to refurbish their houses, should be punished too? Well, I do not know. I think the same situation is in Belgium, where Poles come to refurbish the apartments. Of course, if there is an occasion to choose a cheaper service, everyone thinks about their own wallets. So I do not agree that illegal immigrants are working for businesses, unless these are big companies – here penalties are necessary, but not when it comes to such a small case. I think that each one of us did something like that, so we had not always acted legally. [40:32]	0.0
It's not really about us telling them what to do with the money, it's about having a record of what happens with it. Because a large part of this money disappears into pockets of which the people have nothing. That can't be the case. We give something and of course we want to know what happens with it. We don't want to sponsor some potentates and so the people remain poor again and we have imported poverty again.	de	[49:55] Es geht ja eigentlich nicht darum, dass wir ihnen sagen, was sie mit dem Geld zu machen haben, sondern, dass man einen Nachweis hat, was passiert damit. Weil ein Grossteil dieser Gelder in irgendwelchen Taschen verschwindet, von denen das Volk nichts hat. Das kann’s ja auch nicht sein. Wir geben etwas hin und wollen natürlich wissen, was passiert damit. Wir wollen nicht irgendwelche Potentaten sponsern und damit bleibt das Volk erst wieder arm und wir haben die Armut wieder importiert. [50:25]	0.0
I just wanted to give an explanation to the example 'apartment', that you can't use that, because the problem with this uninvited guest and these illegals - not first legal, who then become illegal - but right from the beginning illegal, that can't be solved by the EU, that can't be solved by us, that should be solved by the community of states, because if such a person immigrates illegally to our country, no matter from which country and who does it deliberately - let's talk about economic refugees, from African countries - the legal situation is that no state can reject them if their origin is not clarified, i.e. most of them do not have any identity documents - and if you try to find out in such a third country whether they really come from there, it takes years. And then you really have to distinguish between someone who has a legal visa with us, which then expires, where he would like to stay longer for economic reasons, whether you can call that illegal or whether you shouldn't rather call it something else or convert it, or someone who enters deliberately from the beginning, no matter which EU country, without giving information about his true origin.	de	[33:38] Ich wollte nur zu dem Beispiel ‚Wohnung‘ noch eine Erklärung geben, dass man das nicht heranziehen kann, weil das Problem mit diesem ungebetenen Gast und diesen Illegalen – also nicht erst Legale, die dann Illegale werden – sondern gleich von Anfang an Illegale, das kann die EU nicht lösen, das können wir nicht lösen, das müsste die Staatengemeinschaft lösen, weil wenn nämlich so jemand illegal bei uns einwandert, egal aus welchem Land und der das bewusst macht – sprechen wir doch mal das Wort Wirtschaftsflüchtlinge an, eben aus afrikanischen Staaten – ist die Rechtslage ja doch wohl so, dass die kein Staat zurückweisen kann, wenn nicht ihre Herkunft geklärt ist, also meistens verfügen die nicht über irgendwelche Personaldokumente – und sollte man da mal versuchen, bei irgend einem solchen Drittland herauszufinden, ob der wirklich da herstammt, das zieht sich eben über Jahre hin. Und da muss man dann wirklich unterschieden zwischen jemandem, der ein legales Visum besitzt bei uns, was dann abläuft, wo er durchaus vielleicht aus wirtschaftlichen Gründen dann noch länger da bleiben möchte, ob man das dann unbedingt illegal nennen kann oder ob man das nicht lieber anderweitig bezeichnen sollte oder es umwandeln sollte oder jemand, der gleich von Anfang an bewusst einreist, egal in welches EU-Land, ohne über seine wahre Herkunft Auskunft zu geben. [34:49]	0.0
Yes, my name is Björn. If we talk about immigration in my opinion, we have to consider the aspect of right and asylum, because in my opinion many of the people who come to [us] come because they have needs and therefore they also have the right to seek asylum with us and therefore in the letter that we received, I noticed that it is mainly the economic aspects that are underlined and I wonder if the European Union, at the top of a pyramid, still looks at the human aspects and gives priority to the human aspects or if it is rather the purely economic aspects that are taken into account in the first place.	fr	[14:08] Oui je m’appelle Björn. Si on parle d’immigration à mon avis, il faut considérer l’aspect du droit et de l’asile, parce que à mon avis beaucoup des gens qui viennent chez [nous] viennent parce que ils ont des besoins et donc ils ont aussi le droit de chercher asile chez nous et donc dans la lettre que nous avons reçu, j’ai remarqué que ce sont quand-même surtout les aspects économiques qui sont soulignés et donc je me demande, si l’Union Européenne donc au sommet d’une pyramide regarde encore les aspects humains et donne priorité aux aspects humains ou bien si ce sont plutôt les aspects purement économiques qui sont pris en compte au premier lieu. [14:54]	0.0
I would like to take a big leap and change the perspective if you allow me. What we need are capable politicians, especially in Germany we need capable politicians on the subject of immigration, but we also need immigrants, but qualified immigrants! And even these qualified immigrants are no longer available for Germany, because these people do not feel safe in Germany anymore. At this point I think we should really ask ourselves the fundamental question: Is our country ready and able to receive the foreigners we need? Shouldn't we change our own behavior so that they want to come to us?	fr	[27:57] Moi je voudrais faire un grand saut et changer d’optique si vous me permettez. Ce que nous avons besoin ce sont des hommes politiques capables, surtout en Allemagne nous avons besoin de ces hommes politiques capables en ce qui concerne le sujet de l’immigration mais nous avons également besoin d’immigrés mais d’immigrés qualifiés ! Et même ces immigrés qualifiés on ne les trouve plus pour l’Allemagne, car ces gens-là ne se sente plus à la sécurité en Allemagne. A ce moment-là je pense qu’il faudrait vraiment se poser la question fondamentale : Est-ce que notre pays est prêt et fait pour accueillir des étrangers dont nous avons besoin ? Est-ce qu’il ne faudrait pas changer notre propre comportement afin qu’ils veulent venir chez nous ? [28:50]	0.0
I think this question about the control of the influx of immigrants. How can we control it? How can we do selection between the immigrants? I think it is a good question and I was intrigued by that. I would like to get an answer for this question.	pl	[53:52]I think this question about the control of the influx of immigrants. How can we control it? How can we do selection between the immigrants? I think it is a good question and I was intrigued by that. I would like to get an answer for this question.[54:13]	0.0
I do not want to sum up but I would like to ask you if it could be Polish language. (Laugh)	pl	[1:00:58] I do not want to sum up but I would like to ask you if it could be Polish language. (Laugh)[1:01:03]	0.0
Again, that we're kind of going in circles. We can discuss this for two hours, everyone comes back with more or less the same elements, so we have such laws, the laws eventually have to be changed and so for example if a policeman has to go and arrest a woman for example, does the policeman have to decide if he can or if he can't? If she is beautiful enough, if she has children, it doesn't work like that. So you have to create a base, you have to have clear criteria to have a platform, to have a base, to be able to act or it doesn't help.	fr	[38:34] Je répète, qu’on tourne un peu en rond. On peut discuter cela pendant deux heures, tout le monde revient plus ou moins avec les mêmes éléments, donc on a tels lois, les lois doivent éventuellement être modifiés et donc par exemple si un policier doit aller arrêter une femme par exemple, est-ce que le policier doit décider s’il peut ou s’il ne peut pas ? Si elle est suffisamment belle, si elle a des enfants, ça ne fonctionne pas comme ça. Donc il faut créer une base, avoir des critères clairs pour avoir une plateforme, pour avoir une base, pour pouvoir agir ou ça ne sert à rien. [39:15]	0.0
First of all, I would like to say something in general and subsequently also something about how the whole thing is organized in Denmark, yes?	de	[24:46] Zunächst einmal möchte ich etwas sagen ganz allgemein und in der Folge auch noch gerne etwas darüber wie das Ganze in Dänemark organisiert ist, ja? [25:05]	0.0
I think it is inevitable to distinguish between the immigrants within the EU and here all the issues should be regulated by the EU within its borders, because there will be some regions full of such immigrants. For those from the third countries who apply for asylum, here some countries have more lenient rules in comparison with other countries. I am afraid, that if we apply uniform law for all those countries, it may cause problems.	pl	[08:59] I think it is inevitable to distinguish between the immigrants within the EU and here all the issues should be regulated by the EU within its borders, because there will be some regions full of such immigrants. For those from the third countries who apply for asylum, here some countries have more lenient rules in comparison with other countries. I am afraid, that if we apply uniform law for all those countries, it may cause problems. [09:53]	0.0
In my opinion, if they take the risk here in Europe, if they take the risk that they will be sent back, that's my opinion. And well, it's on their own account. So obviously, they don't have any money. So they still have to be sent back, I think. As much as they are illegal, they have to be sent back too. And nothing more to allow them to live here, if they don't have a house, if they don't have a job, in the end it's still the European community that has to pay the costs.	fr	[13 :25] selon moi, je trouve que – à parti de moi – s’ils prennent le risque comme ça ici en Europe, qu’ils prennent en effet ce risque qu’ils sont aussi renvoyés, voilà, c'est mon avis. Et bon, c'est à leur compte, quoi. Alors évidement, ils n’ont pas de l’argent. Donc il faut quand même - fallait les renvoyer je trouve. Autant qu’illégaux, il faut les renvoyer aussi. Et non rien de plus leur permettre de vivre ici, s’il n’y ont pas de maison, s’il n’y ont pas de travail, finalement c'est quand même de nouveau la communauté européenne qui doit payer les frais. [14 :00]	0.0
From what I have heard, the countries should have a choice in, for example why people cannot come voluntarily to a certain country, or observe them whether they will adapt; some kind of transitional period. Shouldn’t we have some rules which could regulate immigration this way?	pl	[00:40] From what I have heard, the countries should have a choice in, for example why people cannot come voluntarily to a certain country, or observe them whether they will adapt; some kind of transitional period. Shouldn’t we have some rules which could regulate immigration this way?[01:24]	0.0
I think it would be important, in the country where these people come from, that they already deal with both aspects. The fact that they leave their country is already sad perhaps. But if in their own country, they could already benefit from better living conditions, it would be much better than having to leave, as refugees, to leave the whole family, to go on a very long journey and to leave in a completely foreign country. So I think that the countries of the European Union should, among themselves, focus on helping people to stay in their own country by improving the living conditions in their own country. This would avoid the need to emigrate again. I think that international collaboration is good.	fr	[19 :01] Je crois, que ce serait important, dans le pays d’où viennent ces gens que ces gens s’occupent déjà de l’un et l’autre aspect. Le fait qu’ils quittent leur pays c’est déjà triste peut-être. Mais si dans leur propre pays, ils pourraient déjà bénéficier de meilleurs conditions de vie, cela irait bien mieux que devoir, comme des réfugiés devoir partir, quitter toute la famille, aller au très grand voyage et partir dans un pays tout à fait étranger. Donc je trouve que les pays de l’Union Européenne devraient, entre eux, centrer d’aide pour essayer de maintenir les gens dans leur propre pays en améliorant justement les conditions de vie dans leur propre pays. Alors donc, cela pourrait éviter le fait de devoir obligatoirement encore émigrer. Je trouve qu’une collaboration international c’est bien. [20 :08]	0.0
