cleaned_comment	orig_lang	speech	cGood
[Yes, I have another question] and that is here in the booklet where it sort of says: Which immigrants are we talking about, the legal ones or the illegal ones? So about the illegal ones is it about the non-EU countries, so about those who are not in the EU countries? Because I think it's kind of very opaque otherwise.	de	[27:25] [Ja ich hätte da noch eine Frage] und zwar hier in dem Heftchen wo da sozusagen steht ja drin: Um welche Einwanderer geht es denn um die legalen oder um die illegalen? Also um die illegalen geht es um die EU-Nichtstaaten, also um die, die nicht in den EU-Ländern sind? Weil ich finde das sonst irgendwie sehr undurchsichtig. [27:46]	0
Well yeah, I don't completely agree with what you're saying, but I did want to support what we mentioned before, what Juergen said there. I don't see the name, but you are. And we just said that it sounds bad when we say that depending on what the situation is with the immigrants, we are misbehaving. We have to welcome the immigrant, but it should also be clear to him that as a guest he should adapt to different factors and also to the language. And I think that it is not up to us to adapt to them. And that's just, depending on how you want to address it, if we make a remark now, then sometimes it comes across as stupid, then you're not allowed to say anything, then maybe we're not social enough, or then we leave the dirty work to them. That's all true, but it has to be said that many people work in different households. It is also a job and an honorable one at that. So I don't see; these are jobs that we could also do. The improvements that they know compared to their country of origin in our country, such as education, health and such; that is also a plus compared to their country of origin. And I think that it would be something acceptable - we are allowed to ask people to adapt to our language, to our culture, that should be okay.	de	[01:01:21] Gut ja, ich bin nicht völlig einverstanden mit dem, was du sagst, aber ich wollte doch unterstützen, was wir zuvor erwähnt haben, was Jürgen da sagte. Ich sehe den Namen nicht, aber du bist es. Und wir haben ja gerade gesagt, dass es schlecht klingt, wenn wir sagen, dass je nachdem wie die Lage aussieht bei den Migranten, wir uns falsch benehmen. Wir müssen den Einwanderer empfangen, aber es sollte ihm auch klar sein, dass er als Gast sich anpassen soll an verschiedenen Faktoren und auch an der Sprache. Und ich glaube, dass es uns nicht obliegt, uns an sie anzupassen. Und das ist gerade, je nachdem wie man das ansprechen will, wenn wir jetzt eine Bemerkung machen, dann kommt sie manchmal blöd an, dann darf man nichts sagen, dann sind wir vielleicht nicht sozial genug, oder dann überlassen wir denen die Drecksarbeit. Das stimmt alles, aber es muss doch gesagt werden, dass viele in verschiedenen Haushalten arbeiten. Es ist doch auch eine Arbeit und eine ehrbare noch dazu. Also ich sehe nicht ein; dass sind Arbeiten, die wir auch tun könnten. Die Verbesserungen, die sie im Vergleich zu ihrem Ursprungsland bei uns kennen, wie zum Beispiel Bildung, Gesundheit und derartiges; das ist auch ein Plus im Vergleich zu ihrem Ursprungsland. Und ich glaube, dass es doch etwas Annehmbares wäre – wir dürfen doch ruhig fragen, dass die Leute sich an unsere Sprache anpassen sollen, an unsere Kultur, dass sollte doch gehen. [01:03:35]	0
Yes I completely agree with what this gentleman just said because I think we have created ghettos, we have - at the moment - people who live very very badly, immigrants who live very very badly, who are already unemployed, who have enormous problems of integration and I think we should already make an effort to integrate these people who are well in our countries and then we see what we can do to bring in others, we must already take care of the people who are on our territory and who are living very badly and who are unemployed, who are poorly cared for, who have problems with their children, school problems, problems with papers and I think that we must already arrive once we have properly resolved these problems and that we will have sooner than bring people in and make them unhappy - I think that it is perhaps worse than doing something more moderate.	fr	[18:00] Oui je suis complètement d’accord avec ce que vient dire ce monsieur parce que je pense qu’on a créé des ghettos, on a – à l’heure actuelle – des gens qui vivent très très mal, des immigrés qui vivent très très mal, qui sont déjà des chômeurs, qui ont d’énormes problèmes d’intégration et je pense qu’il faudrait déjà faire un effort pour intégrer ces gens qui soient bien dans nos pays et puis après on voit ce qu’on peut faire pour en faire venir d’autres, il faut déjà s’occuper en priorité des gens qui sont sur notre territoire et qui vivent très mal et qui sont au chômage, qui sont mal soignés, qui ont des problèmes avec leurs enfants, des problèmes scolaires, des problèmes des papiers et je pense qu’il faut déjà arriver une fois qu’on aura réglé correctement ces problèmes et qu’on aura plus-tôt que faire venir des gens et les rendre malheureux - je pense que c’est peut-être pire que de faire quelque chose de plus modulé. [18:53]	0
I would say that there should be legalization in several stages, that is to say that women for example who have the risk of being abused, children and who do not know how to live in this context when the whole family is illegal. So we need counting bodies that are on the spot, that are in the cities for example and that can help together with the institutions, with the churches and with other organizations.	fr	[40:11] Moi je dirais qu’il faudrait une légalisation donc à plusieurs étapes, c'est-à-dire que des femmes par exemple qui ont le risque d’être abusée, des enfants et qui ne savent pas vivre dans ce contexte là quand toute la famille est illégale. Donc il nous faut des instances comptants qui soient sur place, qui soient dans les villes par exemple et qui puissent aider ensemble avec les institutions, avec les églises et avec d’autres organisations. [40:40]	0
Should assimilation be conducted? Is it worth talking about it? When someone can live in a society, copes, goes shopping, talks with neighbours; is this not enough? Isn’t it assimilation in a way? I think that is sufficient.	pl	[05:38] Should assimilation be conducted? Is it worth talking about it? When someone can live in a society, copes, goes shopping, talks with neighbours; is this not enough? Isn’t it assimilation in a way? I think that is sufficient.  [06:03]	0
So I actually, in terms of education, I think it would be a very good idea, I would have said actually, it's a very good idea to help people educate themselves in their own countries. But in these documents, I have seen that when we help people to be educated in their country, it is in fact an incentive to go and work elsewhere. Because if we train a nurse in Africa, she could come and work in France for a better salary and that is a temptation to go abroad. So, while it may not be a panacea, it is not going to solve everything either, which makes it very complicated, and this brings me to what I wanted to say before we stop, which is that in these documents, I found that there were some very interesting things that were suggested. And I would have really liked to have figures on the age of the people who migrate, on their education, in fact, what makes their life, because in fact, when we talk about immigration and what we could do, we very quickly come to say who we will accept and who we will not accept. And if we accept people who are qualified, it means that they won't stay in their country to help it to get by and if we accept people who are not qualified, it also poses other problems. When we put in place a policy of acceptance quotas, what does that do in relation to immigration in a country, because the countries that have immigration quotas - the United States or Australia - are countries where you can enter legally by meeting certain criteria. What do these criteria mean for illegal immigration? Does it reinforce immigration or does it calm it down? If people have a hope of entering legally, will they stop taking risks to enter illegally? That's a lot of questions.	fr	[16:45] Alors moi en fait, au niveau de l’éducation, je pense que ça serait une très bonne idée, j’aurais dit en fait, c’est une très bonne idée d’aider les gens à s’éduquer dans leur pays. Mais justement dans ces documents là, j’ai vu que quand on aide les gens à se former dans leur pays, c’est en fait une incitation d’aller travailler ailleurs. Parce que si on forme une infirmière en Afrique, elle pourrait venir travailler en France pour un meilleur salaire et que c’est une tentation d’aller vers l’extérieur. Donc, si peut-être pas non-plus la panacée, ce n’est pas non-plus qui va toute arranger, ce qui fait c’est très compliqué et ça j’en viens à ce que je voulais dire avant qu’on s’arrête, c’est que dans ces documents, j’ai trouvé qu’il y avait des choses qui étaient très intéressantes qui étaient suggéré. Et moi j’aurais vraiment voulu avoir des chiffres sur l’âge des gens qui migrent, sur leur formation, en fait, qu’est-ce qui fait leur vie, parce qu´en fait, quand on parle de l’immigration et qu’est-ce qu’on pourrait faire, on arrive très vite à dire qui on va accepter et qui on ne va pas accepter. Et si on accepte les gens qui sont qualifié, ça veut dire c’est des gens qui ne resteront pas dans leur pays pour l’aider à s’en sortir et si on accepte des gens qui ne sont pas qualifié, sa pose aussi d’autres problèmes, donc voilà, c’est pour ça que moi j’aimerais bien voir des chiffres et des éléments qui permettent d’avancer là-dessus. Quand on met une politique de quota d’acceptation, qu’est-ce que ça fait par rapport à l’immigration dans un pays, parce que les pays qui pratiquent des quotas d’immigration – les Etats-Unis où l’Australie – sont des pays où on peut entrer légalement en correspondant à certains critères. Qu’est-ce que ces critères là fond par apport à l’immigration clandestine ? Est-ce que ça renforce l’immigration où est-ce que ça la calme ? Est-ce que si les gens ont un espoir d’entrer légalement, ils arrêtent de prendre des risques pour entrer illégalement ? Ça fait beaucoup des questions. [18:35]	0
Yeah so, I think the problem is a very big problem. It is that - I think that in Africa in particular since we are talking about this - the effects of globalization which - globalization has become only an economic globalization and I think that political power has lost a lot of its importance because the countries, the African leaders, for the most part, are people who are bought, and they are bought by economic powers. So, it would be necessary - I think - for the European Union among others to regain a political power, a real political will to deal with politics with political elected officials and not economic elected officials since the human problem is not an economic problem.	fr	[34:28] Oui alors, je crois que le problème est un problème très important. C’est que – je crois qu’en Afrique en particulier puisqu’on parle de ça – les effets de la mondialisation qui – la mondialisation est devenu qu’une mondialisation économique et je crois que le pouvoir politique a perdu beaucoup de son importance parce que les pays, les dirigeants Africains, pour la plupart, sont des gens qui sont achetés, et ils sont achetés par des puissances économiques. Donc, il faudrait – je pense – que l’Union Européenne entre autres reprenne un pouvoir politique, une véritable volonté politique pour traiter la politique avec des élus politiques et non pas des élus économiques puisque le problème humaine n’est pas un problème économique. [35:32]	0
I think we can all agree with this, it is just right. However, if it comes do various religions, for example in Holland there is a tendency to forget about tolerance. So often, they want to foist something on us, so that we would live in the name of their religion. There were even murders on religious grounds committed by them. So we believe that Muslims, I am talking particularly about them, think that there is only one religion – their religion, and we have to appeal for tolerance. I think that there is a lack of tolerance from the side of the other party and that is why there are so many conflicts within our society.	pl	[17:09] I think we can all agree with this, it is just right. However, if it comes do various religions, for example in Holland there is a tendency to forget about tolerance. So often, they want to foist something on us, so that we would live in the name of their religion. There were even murders on religious grounds committed by them. So we believe that Muslims, I am talking particularly about them, think that there is only one religion – their religion, and we have to appeal for tolerance. I think that there is a lack of tolerance from the side of the other party and that is why there are so many conflicts within our society. [17:50]	0
It's actually like Björn said, we have the Spanish, we have the Italians, we can't let them do it and solve everything themselves so they're the ones who are facing many problems, so the island of Lampedusa for example or other areas so in Spain, in the south of Spain and so I think there are also negotiations that are going on, that is other countries also have to give more active assistance to make sure that these external borders of the Union are better protected. At the same time, inside, we should do more, perhaps by discussing more to see what we could do to allow this integration after 60 years, and so we have the Algerians, second and third generation, the Turks, second and third generation, so that they become real French and Germans, because there are obviously many associations that are busy and so on, that want to open up these cultures and so change mentalities, but I believe that we must also have a positive attitude, and so they always remain among themselves and so on - no, sorry! If we open up, if we also open up more and more, why wouldn't we be able to mix - I don't mean to merge the two cultures, no - but to have a better understanding and a 100 percent tolerance without having constant frictions and hatred between two, three groups. Obviously this starts at the level of the individual but at the same time, the European Union can and should still do a lot at this level as well.	fr	[54:59] C’est en fait comme Björn a dit, on a les Espagnoles, on a les Italiens, on ne peut pas les laisser faire et résoudre tout eux-mêmes donc c’est eux qui sont confrontés à des nombreux problèmes, donc l’île de Lampedusa par exemple ou d’autres régions donc en Espagne, dans le sud de l’Espagne et donc je crois qu’il y a aussi des négociations qui sont en cours, c'est-à-dire que d’autres pays doivent aussi donner une assistance plus active pour faire en sorte que ces frontières extérieures de l’Union soient mieux protégées. En même temps à l’intérieur il faudrait faire plus, peut-être aussi en discutant plus pour voir ce qu’on pourrait faire de permettre cette intégration finalement après 60 ans et donc on a les Algériens, deuxième, troisième génération, les Turcs, deuxième, troisième génération pour qu’ils deviennent des Français des Allemands réels parce qu’il y a évidemment beaucoup d’associations qui sont occupés et cetera, qui veulent justement ouvrir ces cultures et donc faire changer les mentalités mais je crois qu’il faut aussi avoir une attitude positive et donc ils restent toujours entre eux et cetera – non, désolé ! Si on s’ouvre, si nous on s’ouvre aussi de plus en plus pourquoi on ne serait pas capable de mélanger – je ne veux pas dire fusionner les deux cultures, non – mais quand même mieux comprendre et avoir une tolérance a 100 pourcent sans avoir constamment des frictions et une haine entre deux, trois groupes. Evidemment cela commence au niveau de l’individu mais en même temps, l’Union Européenne peut et doit encore faire beaucoup de choses à ce niveau aussi. [57:00]	2
I just wanted to give an explanation to the example 'apartment', that you can't use that, because the problem with this uninvited guest and these illegals - not first legal, who then become illegal - but right from the beginning illegal, that can't be solved by the EU, that can't be solved by us, that should be solved by the community of states, because if such a person immigrates illegally to our country, no matter from which country and who does it deliberately - let's talk about economic refugees, from African countries - the legal situation is that no state can reject them if their origin is not clarified, i.e. most of them do not have any identity documents - and if you try to find out in such a third country whether they really come from there, it takes years. And then you really have to distinguish between someone who has a legal visa with us, which then expires, where he would like to stay longer for economic reasons, whether you can call that illegal or whether you shouldn't rather call it something else or convert it, or someone who enters deliberately from the beginning, no matter which EU country, without giving information about his true origin.	de	[33:38] Ich wollte nur zu dem Beispiel ‚Wohnung‘ noch eine Erklärung geben, dass man das nicht heranziehen kann, weil das Problem mit diesem ungebetenen Gast und diesen Illegalen – also nicht erst Legale, die dann Illegale werden – sondern gleich von Anfang an Illegale, das kann die EU nicht lösen, das können wir nicht lösen, das müsste die Staatengemeinschaft lösen, weil wenn nämlich so jemand illegal bei uns einwandert, egal aus welchem Land und der das bewusst macht – sprechen wir doch mal das Wort Wirtschaftsflüchtlinge an, eben aus afrikanischen Staaten – ist die Rechtslage ja doch wohl so, dass die kein Staat zurückweisen kann, wenn nicht ihre Herkunft geklärt ist, also meistens verfügen die nicht über irgendwelche Personaldokumente – und sollte man da mal versuchen, bei irgend einem solchen Drittland herauszufinden, ob der wirklich da herstammt, das zieht sich eben über Jahre hin. Und da muss man dann wirklich unterschieden zwischen jemandem, der ein legales Visum besitzt bei uns, was dann abläuft, wo er durchaus vielleicht aus wirtschaftlichen Gründen dann noch länger da bleiben möchte, ob man das dann unbedingt illegal nennen kann oder ob man das nicht lieber anderweitig bezeichnen sollte oder es umwandeln sollte oder jemand, der gleich von Anfang an bewusst einreist, egal in welches EU-Land, ohne über seine wahre Herkunft Auskunft zu geben. [34:49]	0
I think that we should not give up the principle of immigration, but maybe make a little stricter selection. I have already said that if someone comes to a country that is not his, then he should adapt to the culture and customs of that country, because it is not easy. Of course, you can immigrate simply to ask for money, but you need an education, a profession, and you need to work.	de	[1:00:28] Ich glaube, dass wir das Prinzip der Einwanderung nicht aufgeben sollten, aber vielleicht eine etwas strengere Auswahl treffen. Ich habe schon gesagt, wenn jemand in ein Land kommt, das nicht das seine ist, dann sollte er sich der Kultur und den Gebräuchen dieses Landes anpassen, denn es ist nicht einfach. Natürlich kann man einwandern einfach nur um Geld zu verlangen, aber man braucht eine Ausbildung, einen Beruf, und man muss arbeiten. [1:01:02]	0
If the citizens in this country cannot find a job, how can we give work to foreigners? I believe that a priority should be given to people from that country. I just wanted to add.	pl	[1:00:36] If the citizens in this country cannot find a job, how can we give work to foreigners? I believe that a priority should be given to people from that country. I just wanted to add. [1:01:00]	1
I am an elected official. So I see things a little differently, if you like. But we had a problem... and it was not only in my city. We have Africans who came who are bigamists who have four wives. A hundred [?] children and how do you do it? It is forbidden in France, polygamy, I think it is forbidden in other countries in Europe. And how to do? Expel three of the women, keep one? how? and it's a problem that's going to happen everywhere. Because it's their culture and we have nothing to do with it.	fr	[42 :15] moi je suis une élue. Donc je vois les choses un peu différentes, si vous voulez. Mais on a eu un problème… et ça n’existait pas uniquement dans ma ville. On a des Africains qui sont venus qui sont bigames qui ont quatre femmes. Une centaine[ ?] d’enfants et comment faire ? C’est interdit en France, polygamie, je pense que c’est interdit dans d’autres pays en Europe. Et comment faire ? Expulser trois des femmes, en garder une ? comment ? et c’est un problème qui va se poser partout. Parce que c’est leur culture et on n’a rien à ça. [42 :52]	0
I think we shouldn't talk now about whether or not the EU as a whole needs more rights now, or whether we conclude a relatively undemocratic Lisbon Treaty, or whatever, but we should focus on the issue of migration first.	de	[1:40:43] Ich denke, wir sollten jetzt nicht darüber reden, ob die EU jetzt insgesamt mehr Rechte braucht oder nicht, oder ob wir einen relativ undemokratischen Vertrag von Lissabon abschliessen, oder wie auch immer, sondern wir sollten uns erst mal auf das Thema Migration konzentrieren. [1:14:13]	0
I think that even if everyone would give this 20% of his/her earnings for illegal immigrants and the third world countries, it will still be unrealistic because it would be a drop in the bucket. We'd be poorer, and it would not help because the money would be lost. Thank you.	pl	[1:09:56]I think that even if everyone would give this 20% of his/her earnings for illegal immigrants and the third world countries, it will still be unrealistic because it would be a drop in the bucket. We'd be poorer, and it would not help because the money would be lost. Thank you.[1:10:29]	1
